Linux 6.8.0-87-generic (jschoi) 	09/11/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:08 PM  1000   1929549    5.00    1.00    0.00    0.00    6.00    14   3171.00      0.00 2620608  163188   0.50  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:09 PM  1000   1929549   11.00    3.00    0.00    0.00   14.00     2   3063.00      0.00 2621368  169692   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:10 PM  1000   1929549   13.00    2.00    0.00    0.00   15.00     0   1849.00      0.00 2621400  174948   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:11 PM  1000   1929549   14.00    3.00    0.00    0.00   17.00     6   1085.00      0.00 2621400  179172   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:12 PM  1000   1929549   15.00    2.00    0.00    0.00   17.00    14    477.00      0.00 2621400  181092   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:13 PM  1000   1929549   15.00    2.00    0.00    0.00   17.00    12    326.00      0.00 2621400  182628   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:14 PM  1000   1929549   14.00    2.00    0.00    0.00   16.00     0    396.00      0.00 2621400  184164   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:15 PM  1000   1929549   14.00    2.00    0.00    0.00   16.00     0    147.00      0.00 2621796  184740   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:16 PM  1000   1929549   13.00    2.00    0.00    0.00   15.00    10     60.00      0.00 2621796  184740   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:17 PM  1000   1929549   12.00    2.00    0.00    0.00   14.00    11    368.00      0.00 2621796  186084   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:18 PM  1000   1929549   12.00    2.00    0.00    0.00   14.00    11     28.00      0.00 2621796  186468   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:19 PM  1000   1929549   14.00    3.00    0.00    0.00   17.00    11      9.00      0.00 2621796  186660   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:20 PM  1000   1929549   13.00    1.00    0.00    0.00   14.00    11    117.00      0.00 2621796  187044   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:21 PM  1000   1929549   15.00    2.00    0.00    0.00   17.00    10    111.00      0.00 2622000  187620   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:22 PM  1000   1929549   13.00    3.00    0.00    0.00   16.00    11    193.00      0.00 2622416  188580   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:23 PM  1000   1929549   14.00    2.00    0.00    0.00   16.00     0    118.00      0.00 2622416  188964   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:07:24 PM  1000   1929549   13.00    2.00    0.00    0.00   15.00    12     36.00      0.00 2622416  189156   0.58  fastlio_mapping

