Linux 6.8.0-87-generic (jschoi) 	09/11/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:39 PM  1000   2414039    3.00    2.00    0.00    0.00    5.00    12   3790.00      0.00 2621596  167080   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:40 PM  1000   2414039   10.00    2.00    0.00    0.00   12.00    14   2374.00      0.00 2621600  172920   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:41 PM  1000   2414039   12.00    3.00    0.00    0.00   15.00     8   1767.00      0.00 2621824  177828   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:42 PM  1000   2414039   13.00    2.00    0.00    0.00   15.00     8    854.00      0.00 2621824  181284   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:43 PM  1000   2414039   12.00    2.00    0.00    0.00   14.00    14    959.00      0.00 2622416  184932   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:44 PM  1000   2414039   13.00    2.00    0.00    0.00   15.00    14    681.00      0.00 2622416  187428   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:45 PM  1000   2414039   13.00    3.00    0.00    0.00   16.00     2     96.00      0.00 2622416  187812   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:46 PM  1000   2414039   13.00    2.00    0.00    0.00   15.00    14    219.00      0.00 2622416  188580   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:47 PM  1000   2414039   12.00    3.00    0.00    0.00   15.00     6    193.00      0.00 2622416  189540   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:48 PM  1000   2414039   13.00    1.00    0.00    0.00   14.00    14    216.00      0.00 2622416  190500   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:49 PM  1000   2414039   13.00    2.00    0.00    0.00   15.00     6     17.00      0.00 2622416  190500   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:50 PM  1000   2414039   11.00    2.00    0.00    0.00   13.00     6     58.00      0.00 2622416  190692   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:51 PM  1000   2414039   12.00    3.00    0.00    0.00   15.00    10    153.00      0.00 2622416  191268   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:52 PM  1000   2414039   15.00    0.00    0.00    0.00   15.00    10     51.00      0.00 2622416  191460   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:53 PM  1000   2414039   13.00    2.00    0.00    0.00   15.00    12    102.00      0.00 2622416  191844   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:54 PM  1000   2414039   13.00    1.00    0.00    0.00   14.00    12     66.00      0.00 2622416  192036   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:25:55 PM  1000   2414039   13.00    2.00    0.00    0.00   15.00    14    107.00      0.00 2622416  192804   0.59  fastlio_mapping

