Linux 6.8.0-87-generic (jschoi) 	09/11/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:43 PM  1000   2288555    5.00    2.00    0.00    0.00    7.00     0   3468.00      0.00 2621536  166244   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:44 PM  1000   2288555    9.00    2.00    0.00    0.00   11.00     1   2962.00      0.00 2621936  172724   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:45 PM  1000   2288555   13.00    3.00    0.00    0.00   16.00     1   2030.00      0.00 2622768  179112   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:46 PM  1000   2288555   14.00    3.00    0.00    0.00   17.00     9    915.00      0.00 2622768  183144   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:47 PM  1000   2288555   12.00    4.00    0.00    0.00   16.00     9    533.00      0.00 2622768  185064   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:48 PM  1000   2288555   15.00    3.00    0.00    0.00   18.00     9    591.00      0.00 2622768  187560   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:49 PM  1000   2288555   14.00    3.00    0.00    0.00   17.00     9    503.00      0.00 2622768  189672   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:50 PM  1000   2288555   15.00    3.00    0.00    0.00   18.00     9    173.00      0.00 2622768  190440   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:51 PM  1000   2288555   14.00    2.00    0.00    0.00   16.00     9     84.00      0.00 2622768  191016   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:52 PM  1000   2288555   16.00    2.00    0.00    0.00   18.00     9    164.00      0.00 2622768  191592   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:53 PM  1000   2288555   14.00    3.00    0.00    0.00   17.00     9     94.00      0.00 2622768  191976   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:54 PM  1000   2288555   14.00    3.00    0.00    0.00   17.00     9     23.00      0.00 2622768  191976   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:55 PM  1000   2288555   13.00    3.00    0.00    0.00   16.00     9    118.00      0.00 2622768  192360   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:56 PM  1000   2288555   14.00    3.00    0.00    0.00   17.00     9     50.00      0.00 2622768  192552   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:57 PM  1000   2288555   14.00    2.00    0.00    0.00   16.00     9     72.00      0.00 2622768  192744   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:58 PM  1000   2288555   14.00    2.00    0.00    0.00   16.00     9     71.00      0.00 2622768  192936   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:01:59 PM  1000   2288555   13.00    3.00    0.00    0.00   16.00     9     64.00      0.00 2622768  193512   0.59  fastlio_mapping

