Linux 6.8.0-87-generic (jschoi) 	09/18/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:01 PM  1000   2010462    6.00    3.00    0.00    0.00    9.00     4   3773.00      0.00 2620432  166412   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:02 PM  1000   2010462   12.00    2.00    0.00    0.00   14.00     4   2362.00      0.00 2620908  175820   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:03 PM  1000   2010462   17.00    3.00    0.00    0.00   20.00     6   1809.00      0.00 2620908  183116   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:04 PM  1000   2010462   15.00    2.00    0.00    0.00   17.00     8   1198.00      0.00 2621672  187916   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:05 PM  1000   2010462   14.00    2.00    0.00    0.00   16.00    10    302.00      0.00 2621672  189068   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:06 PM  1000   2010462   14.00    3.00    0.00    0.00   17.00    15    222.00      0.00 2621672  190028   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:07 PM  1000   2010462   13.00    1.00    0.00    0.00   14.00    15    175.00      0.00 2621864  190796   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:08 PM  1000   2010462   14.00    2.00    0.00    0.00   16.00    15    407.00      0.00 2621864  192524   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:09 PM  1000   2010462   16.00    2.00    0.00    0.00   18.00    15    152.00      0.00 2621864  193100   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:10 PM  1000   2010462   14.00    2.00    0.00    0.00   16.00     0     77.00      0.00 2621864  193484   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:11 PM  1000   2010462   12.00    3.00    0.00    0.00   15.00     8     64.00      0.00 2621864  193676   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:12 PM  1000   2010462   12.00    2.00    0.00    0.00   14.00     2    262.00      0.00 2622216  194828   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:13 PM  1000   2010462   13.00    3.00    0.00    0.00   16.00     8     63.00      0.00 2622224  194828   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:14 PM  1000   2010462   12.00    4.00    0.00    0.00   16.00     2     71.00      0.00 2622224  195212   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:15 PM  1000   2010462   14.00    2.00    0.00    0.00   16.00     4     36.00      0.00 2622224  195404   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:16 PM  1000   2010462   11.00    3.00    0.00    0.00   14.00    10      5.00      0.00 2622224  195404   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:17 PM  1000   2010462   14.00    2.00    0.00    0.00   16.00    12     11.00      0.00 2622224  195404   0.60  fastlio_mapping

