Linux 6.8.0-87-generic (jschoi) 	09/18/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:17 PM  1000   2018401    7.00    3.00    0.00    0.00   10.00    14   5985.00      0.00 2620764  174648   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:18 PM  1000   2018401   13.00    4.00    0.00    0.00   17.00    14   3209.00      0.00 2621564  187512   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:19 PM  1000   2018401   11.00    1.00    0.00    0.00   12.00     4   1672.00      0.00 2621916  193848   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:20 PM  1000   2018401   12.00    3.00    0.00    0.00   15.00     8    890.00      0.00 2621916  197496   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:21 PM  1000   2018401   20.00    1.00    0.00    0.00   21.00     4    976.00      0.00 2621916  201336   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:22 PM  1000   2018401   15.00    1.00    0.00    0.00   16.00    14    192.00      0.00 2621916  202488   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:23 PM  1000   2018401   16.00    3.00    0.00    0.00   19.00    14    186.00      0.00 2621916  202872   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:24 PM  1000   2018401   16.00    2.00    0.00    0.00   18.00     4    322.00      0.00 2622356  204408   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:25 PM  1000   2018401   17.00    3.00    0.00    0.00   20.00     6    391.00      0.00 2622380  206136   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:26 PM  1000   2018401    8.00    1.00    0.00    0.00    9.00     6     77.00      0.00 2622552  206328   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:27 PM  1000   2018401   16.00    2.00    0.00    0.00   18.00    12    336.00      0.00 2622612  206212   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:28 PM  1000   2018401   15.00    2.00    0.00    0.00   17.00    14    232.00      0.00 2622612  206980   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:29 PM  1000   2018401   14.00    2.00    0.00    0.00   16.00    10    259.00      0.00 2622880  207940   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:30 PM  1000   2018401   16.00    2.00    0.00    0.00   18.00    10    272.00      0.00 2622880  209092   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:31 PM  1000   2018401   15.00    3.00    0.00    0.00   18.00     4    666.00      0.00 2624160  211780   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:32 PM  1000   2018401   20.00    2.00    0.00    0.00   22.00     8    483.00      0.00 2624160  213700   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:00:33 PM  1000   2018401   21.00    3.00    0.00    0.00   24.00    12    394.00      0.00 2625064  215620   0.66  fastlio_mapping

