Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:08 PM  1000   1511432    6.00    2.00    0.00    0.00    8.00     2   7135.00      1.00 2621600  179536   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:09 PM  1000   1511432   16.00    4.00    0.00    0.00   20.00    14   3870.00      0.00 2622704  193784   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:10 PM  1000   1511432   21.00    2.00    0.00    0.00   23.00    12   2050.00      0.00 2622704  201848   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:11 PM  1000   1511432   20.00    2.00    0.00    0.00   22.00     0    855.00      0.00 2622704  205304   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:12 PM  1000   1511432   23.00    1.00    0.00    0.00   24.00     8   1221.00      0.00 2623220  210104   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:13 PM  1000   1511432   22.00    2.00    0.00    0.00   24.00     0    319.00      0.00 2623220  211448   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:14 PM  1000   1511432   21.00    2.00    0.00    0.00   23.00     4    318.00      0.00 2623220  212792   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:15 PM  1000   1511432   20.00    1.00    0.00    0.00   21.00     0    280.00      0.00 2623220  213752   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:16 PM  1000   1511432   18.00    2.00    0.00    0.00   20.00     0    199.00      0.00 2624004  214520   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:17 PM  1000   1511432   21.00    2.00    0.00    0.00   23.00     0      6.00      0.00 2624004  214520   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:18 PM  1000   1511432   21.00    1.00    0.00    0.00   22.00     0    234.00      0.00 2624004  215480   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:19 PM  1000   1511432   21.00    2.00    0.00    0.00   23.00     0    135.00      0.00 2624004  215864   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:20 PM  1000   1511432   22.00    2.00    0.00    0.00   24.00     0    122.00      0.00 2624004  216440   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:21 PM  1000   1511432   20.00    1.00    0.00    0.00   21.00     0    480.00      0.00 2625412  218168   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:22 PM  1000   1511432   22.00    2.00    0.00    0.00   24.00     8    296.00      0.00 2626004  219512   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:23 PM  1000   1511432   20.00    3.00    0.00    0.00   23.00     8     19.00      0.00 2626004  219704   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:30:24 PM  1000   1511432   22.00    1.00    0.00    0.00   23.00     2    230.00      0.00 2626784  220472   0.68  fastlio_mapping

