Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:38:44 PM  1000   1522351    6.00    2.00    0.00    0.00    8.00    12   4054.00      0.00 2621080  168564   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:38:45 PM  1000   1522351   11.00    4.00    0.00    0.00   15.00     9   2282.00      0.00 2622000  177396   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:38:46 PM  1000   1522351   14.00    2.00    0.00    0.00   16.00     6   1647.00      0.00 2622000  183732   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:38:47 PM  1000   1522351   17.00    3.00    0.00    0.00   20.00    12   1105.00      0.00 2622000  188532   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:38:48 PM  1000   1522351   15.00    3.00    0.00    0.00   18.00    12    616.00      0.00 2622000  190836   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:38:49 PM  1000   1522351   16.00    2.00    0.00    0.00   18.00     9    329.00      0.00 2622000  191988   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:38:50 PM  1000   1522351   18.00    2.00    0.00    0.00   20.00     9    360.00      0.00 2622060  193524   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:38:51 PM  1000   1522351   15.00    3.00    0.00    0.00   18.00     0    214.00      0.00 2622060  194484   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:38:52 PM  1000   1522351   17.00    2.00    0.00    0.00   19.00     0    369.00      0.00 2622964  196020   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:38:53 PM  1000   1522351   16.00    3.00    0.00    0.00   19.00     8    175.00      0.00 2622964  196788   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:38:54 PM  1000   1522351   16.00    2.00    0.00    0.00   18.00     4     41.00      0.00 2622964  196980   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:38:55 PM  1000   1522351   16.00    2.00    0.00    0.00   18.00    10    149.00      0.00 2623100  197364   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:38:56 PM  1000   1522351   17.00    2.00    0.00    0.00   19.00     6     48.00      0.00 2623100  197556   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:38:57 PM  1000   1522351   16.00    1.00    0.00    0.00   17.00     8     86.00      0.00 2623100  197748   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:38:58 PM  1000   1522351   17.00    2.00    0.00    0.00   19.00     4    174.00      0.00 2623100  198324   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:38:59 PM  1000   1522351   14.00    3.00    0.00    0.00   17.00     4    135.00      0.00 2623100  198900   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:39:00 PM  1000   1522351   19.00    2.00    0.00    0.00   21.00     4     63.00      0.00 2623100  199284   0.61  fastlio_mapping

