Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:46:45 PM  1000   1532477    8.00    3.00    0.00    0.00   11.00    14   4355.00      0.00 2620524  169092   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:46:46 PM  1000   1532477   13.00    3.00    0.00    0.00   16.00     0   2957.00      0.00 2621744  179384   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:46:47 PM  1000   1532477   18.00    2.00    0.00    0.00   20.00     8   2263.00      0.00 2622388  188408   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:46:48 PM  1000   1532477   17.00    3.00    0.00    0.00   20.00    12    712.00      0.00 2622388  191096   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:46:49 PM  1000   1532477   15.00    2.00    0.00    0.00   17.00    14   1220.00      0.00 2622984  196088   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:46:50 PM  1000   1532477   19.00    2.00    0.00    0.00   21.00     6    856.00      0.00 2622984  199544   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:46:51 PM  1000   1532477   19.00    2.00    0.00    0.00   21.00     0    310.00      0.00 2623196  200696   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:46:52 PM  1000   1532477   16.00    2.00    0.00    0.00   18.00     4    127.00      0.00 2623196  201080   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:46:53 PM  1000   1532477   19.00    3.00    0.00    0.00   22.00     6    426.00      0.00 2623196  202616   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:46:54 PM  1000   1532477   20.00    2.00    0.00    0.00   22.00     2    186.00      0.00 2623428  203576   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:46:55 PM  1000   1532477   19.00    1.00    0.00    0.00   20.00    10     80.00      0.00 2623428  203768   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:46:56 PM  1000   1532477   19.00    2.00    0.00    0.00   21.00    14      0.00      0.00 2623428  203768   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:46:57 PM  1000   1532477   17.00    2.00    0.00    0.00   19.00     8    140.00      0.00 2623428  204344   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:46:58 PM  1000   1532477   18.00    1.00    0.00    0.00   19.00     0      0.00      0.00 2623428  204344   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:46:59 PM  1000   1532477   18.00    2.00    0.00    0.00   20.00     2     15.00      0.00 2623428  204536   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:47:00 PM  1000   1532477   19.00    3.00    0.00    0.00   22.00    10     32.00      0.00 2623428  204920   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:47:01 PM  1000   1532477   17.00    2.00    0.00    0.00   19.00     0     98.00      0.00 2623428  205496   0.63  fastlio_mapping

