Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:33 PM  1000   1542339    6.00    1.00    0.00    0.00    7.00    11   5425.00      0.00 2621156  172380   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:34 PM  1000   1542339   15.00    3.00    0.00    0.00   18.00    11   2505.00      0.00 2621156  182940   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:35 PM  1000   1542339   18.00    5.00    0.00    0.00   23.00    11   1931.00      0.00 2621560  190620   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:36 PM  1000   1542339   16.00    3.00    0.00    0.00   19.00    11   1427.00      0.00 2621836  194768   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:37 PM  1000   1542339   16.00    3.00    0.00    0.00   19.00    11    783.00      0.00 2621836  197840   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:38 PM  1000   1542339   17.00    3.00    0.00    0.00   20.00    11    233.00      0.00 2621836  198608   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:39 PM  1000   1542339   17.00    2.00    0.00    0.00   19.00    11    338.00      0.00 2622072  199952   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:40 PM  1000   1542339   17.00    2.00    0.00    0.00   19.00    11    398.00      0.00 2622072  201680   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:41 PM  1000   1542339   17.00    3.00    0.00    0.00   20.00     0     32.00      0.00 2622072  201872   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:42 PM  1000   1542339   16.00    4.00    0.00    0.00   20.00     6     59.00      0.00 2622236  202064   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:43 PM  1000   1542339   15.00    2.00    0.00    0.00   17.00     0     49.00      0.00 2622296  202064   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:44 PM  1000   1542339   17.00    2.00    0.00    0.00   19.00     2     76.00      0.00 2622300  202448   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:45 PM  1000   1542339   18.00    2.00    0.00    0.00   20.00     2    285.00      0.00 2622300  203600   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:46 PM  1000   1542339   18.00    2.00    0.00    0.00   20.00    10     94.00      0.00 2622488  203792   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:47 PM  1000   1542339   18.00    2.00    0.00    0.00   20.00     9     83.00      0.00 2622488  204368   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:48 PM  1000   1542339   18.00    3.00    0.00    0.00   21.00    12     20.00      0.00 2622488  204368   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:54:49 PM  1000   1542339   17.00    2.00    0.00    0.00   19.00    10    248.00      0.00 2623664  205328   0.63  fastlio_mapping

