Linux 6.8.0-87-generic (jschoi) 	09/11/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:20 PM  1000   2250734    5.00    2.00    0.00    0.00    7.00     2   3158.00      0.00 2555012  164620   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:21 PM  1000   2250734   11.00    2.00    0.00    0.00   13.00    12   2801.00      0.00 2620552  171392   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:22 PM  1000   2250734   16.00    3.00    0.00    0.00   19.00    12   1929.00      0.00 2621552  177588   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:23 PM  1000   2250734   14.00    2.00    0.00    0.00   16.00    12   1069.00      0.00 2621552  182004   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:24 PM  1000   2250734   14.00    1.00    0.00    0.00   15.00    12    464.00      0.00 2621552  184116   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:25 PM  1000   2250734   16.00    2.00    0.00    0.00   18.00    12    516.00      0.00 2621552  186036   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:26 PM  1000   2250734   15.00    1.00    0.00    0.00   16.00    12     53.00      0.00 2621552  186228   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:27 PM  1000   2250734   16.00    1.00    0.00    0.00   17.00     0    115.00      0.00 2621552  186612   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:28 PM  1000   2250734   15.00    1.00    0.00    0.00   16.00     2     28.00      0.00 2621552  186612   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:29 PM  1000   2250734   13.00    2.00    0.00    0.00   15.00     2     44.00      0.00 2621552  186612   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:30 PM  1000   2250734   16.00    1.00    0.00    0.00   17.00     6    101.00      0.00 2621552  186996   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:31 PM  1000   2250734   13.00    3.00    0.00    0.00   16.00     6     23.00      0.00 2621552  187188   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:32 PM  1000   2250734   15.00    0.00    0.00    0.00   15.00    12    123.00      0.00 2621552  187572   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:33 PM  1000   2250734   14.00    2.00    0.00    0.00   16.00    12    109.00      0.00 2621552  188148   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:34 PM  1000   2250734   12.00    2.00    0.00    0.00   14.00     6     13.00      0.00 2621552  188148   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:35 PM  1000   2250734   14.00    2.00    0.00    0.00   16.00     6    184.00      0.00 2621552  188724   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:36 PM  1000   2250734   14.00    2.00    0.00    0.00   16.00     6    146.00      0.00 2621552  189300   0.58  fastlio_mapping

