Linux 6.8.0-87-generic (jschoi) 	09/11/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:30 PM  1000   2262163    4.00    1.00    0.00    0.00    5.00     0   3388.00      0.00 2621376  165376   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:31 PM  1000   2262163   12.00    2.00    0.00    0.00   14.00     0   2072.00      0.00 2621376  171312   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:32 PM  1000   2262163   15.00    2.00    0.00    0.00   17.00     2   1475.00      0.00 2622380  175628   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:33 PM  1000   2262163   14.00    1.00    0.00    0.00   15.00     2   1114.00      0.00 2622380  180236   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:34 PM  1000   2262163   14.00    1.00    0.00    0.00   15.00     4    312.00      0.00 2622380  181388   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:35 PM  1000   2262163   13.00    2.00    0.00    0.00   15.00     4    385.00      0.00 2622380  182924   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:36 PM  1000   2262163   14.00    3.00    0.00    0.00   17.00     4    295.00      0.00 2622380  184076   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:37 PM  1000   2262163   14.00    2.00    0.00    0.00   16.00     2    304.00      0.00 2622380  185228   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:38 PM  1000   2262163   14.00    1.00    0.00    0.00   15.00     2    277.00      0.00 2622380  186188   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:39 PM  1000   2262163   12.00    3.00    0.00    0.00   15.00     6    352.00      0.00 2622380  187724   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:40 PM  1000   2262163   14.00    2.00    0.00    0.00   16.00     6     74.00      0.00 2622380  188108   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:41 PM  1000   2262163   13.00    2.00    0.00    0.00   15.00     4      4.00      0.00 2622380  188108   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:42 PM  1000   2262163   14.00    2.00    0.00    0.00   16.00     6    181.00      0.00 2622644  188684   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:43 PM  1000   2262163   12.00    3.00    0.00    0.00   15.00     6     81.00      0.00 2622644  189068   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:44 PM  1000   2262163   13.00    3.00    0.00    0.00   16.00     6    187.00      0.00 2622644  189836   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:45 PM  1000   2262163   12.00    2.00    0.00    0.00   14.00     6     54.00      0.00 2622644  190028   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:26:46 PM  1000   2262163   13.00    2.00    0.00    0.00   15.00    12    205.00      0.00 2622644  190988   0.59  fastlio_mapping

