Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:40 PM  1000   1149667   10.00    5.00    0.00    0.00   15.00     0  15033.00      0.00 2617708  203804   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:41 PM  1000   1149667   37.00    2.00    0.00    0.00   39.00     2   6614.00      0.00 2619188  219380   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:42 PM  1000   1149667   35.00    4.00    0.00    0.00   39.00     2   5455.00      0.00 2619180  221136   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:43 PM  1000   1149667   36.00    3.00    0.00    0.00   39.00    14   4748.00      0.00 2619180  225060   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:44 PM  1000   1149667   37.00    3.00    0.00    0.00   40.00     8   5633.00      0.00 2619316  226148   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:45 PM  1000   1149667   36.00    4.00    0.00    0.00   40.00     8   6634.00      0.00 2619880  231784   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:46 PM  1000   1149667   27.00    2.00    0.00    0.00   29.00    12   4017.00      0.00 2619128  232680   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:47 PM  1000   1149667   32.00    5.00    0.00    0.00   37.00    14   8207.00      0.00 2620472  238116   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:48 PM  1000   1149667   32.00    4.00    0.00    0.00   36.00    12   5295.00      0.00 2620472  240044   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:49 PM  1000   1149667   30.00    3.00    0.00    0.00   33.00    12   5257.00      0.00 2620472  241812   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:50 PM  1000   1149667   28.00    3.00    0.00    0.00   31.00    14   6306.00      0.00 2620472  239764   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:51 PM  1000   1149667   36.00    3.00    0.00    0.00   39.00     8   7623.00      0.00 2621316  238160   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:52 PM  1000   1149667   29.00    4.00    0.00    0.00   33.00     8   8081.00      0.00 2622516  244276   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:53 PM  1000   1149667   27.00    2.00    0.00    0.00   29.00    12   6700.00      0.00 2622516  244060   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:54 PM  1000   1149667   28.00    4.00    0.00    0.00   32.00    10   7636.00      0.00 2622524  246248   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:04:55 PM  1000   1149667   28.00    3.00    0.00    0.00   31.00     4   8375.00      0.00 2622656  249572   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
