Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:07:59 PM  1000   1151615   14.00    4.00    0.00    0.00   18.00     4  13289.00      0.00 2618272  204464   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:08:00 PM  1000   1151615   34.00    3.00    0.00    0.00   37.00     6   7807.00      0.00 2618184  224564   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:08:01 PM  1000   1151615   36.00    5.00    0.00    0.00   41.00     0   6132.00      0.00 2618004  231540   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:08:02 PM  1000   1151615   34.00    3.00    0.00    0.00   37.00     6   4419.00      0.00 2619700  235620   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:08:03 PM  1000   1151615   31.00    5.00    0.00    0.00   36.00     6   6056.00      0.00 2619704  237652   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:08:04 PM  1000   1151615   31.00    3.00    0.00    0.00   34.00     2   4722.00      0.00 2620332  236336   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:08:05 PM  1000   1151615   22.00    3.00    0.00    0.00   25.00     0   2917.00      0.00 2618800  237292   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:08:06 PM  1000   1151615   39.00    3.00    0.00    0.00   42.00     6   8282.00      0.00 2621628  245564   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:08:07 PM  1000   1151615   36.00    5.00    0.00    0.00   41.00     8   6412.00      0.00 2622600  244980   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:08:08 PM  1000   1151615   32.00    5.00    0.00    0.00   37.00    10   8220.00      0.00 2622600  247768   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:08:09 PM  1000   1151615   31.00    4.00    0.00    0.00   35.00    10   7289.00      0.00 2622600  243584   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:08:10 PM  1000   1151615   30.00    4.00    0.00    0.00   34.00     6   6849.00      0.00 2623020  246784   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:08:11 PM  1000   1151615   35.00    3.00    0.00    0.00   38.00    14   7361.00      0.00 2623020  256264   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:08:12 PM  1000   1151615   30.00    3.00    0.00    0.00   33.00     4   3525.00      0.00 2623020  264760   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:08:13 PM  1000   1151615   33.00    3.00    0.00    0.00   36.00    12   1798.00      0.00 2624296  268336   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:08:14 PM  1000   1151615   36.00    3.00    0.00    0.00   39.00     4    941.00      0.00 2624296  271792   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
