Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:23:58 PM  1000    619801   11.00    4.00    0.00    0.00   15.00     0  11625.00      0.00 2616392  195612   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:23:59 PM  1000    619801   26.00    3.00    0.00    0.00   29.00     2   9043.00      0.00 2618072  221232   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:00 PM  1000    619801   33.00    3.00    0.00    0.00   36.00     8   5696.00      0.00 2618088  230140   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:01 PM  1000    619801   29.00    2.00    0.00    0.00   31.00     0   2882.00      0.00 2618096  231028   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:02 PM  1000    619801   33.00    3.00    0.00    0.00   36.00     4   1940.00      0.00 2618328  234676   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:03 PM  1000    619801   32.00    2.00    0.00    0.00   34.00     2   2024.00      0.00 2618328  233224   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:04 PM  1000    619801   31.00    2.00    0.00    0.00   33.00     2   3312.00      0.00 2618328  242284   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:05 PM  1000    619801   28.00    1.00    0.00    0.00   29.00     6   1324.00      0.00 2618788  243528   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:06 PM  1000    619801   27.00    4.00    0.00    0.00   31.00     8   3613.00      0.00 2618984  244748   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:07 PM  1000    619801   30.00    2.00    0.00    0.00   32.00     6   1913.00      0.00 2619980  242528   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:08 PM  1000    619801   31.00    1.00    0.00    0.00   32.00    14   3408.00      0.00 2621920  248600   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:09 PM  1000    619801   27.00    2.00    0.00    0.00   29.00    12   1300.00      0.00 2622032  251100   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:10 PM  1000    619801   28.00    3.00    0.00    0.00   31.00     0   2825.00      0.00 2622148  254416   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:11 PM  1000    619801   32.00    2.00    0.00    0.00   34.00    12   1893.00      0.00 2623960  253724   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:12 PM  1000    619801   35.00    3.00    0.00    0.00   38.00     0   1533.00      0.00 2624072  259676   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:13 PM  1000    619801   32.00    2.00    0.00    0.00   34.00     0   1383.00      0.00 2624180  263840   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:14 PM  1000    619801   32.00    1.00    0.00    0.00   33.00    14    558.00      0.00 2624292  265760   0.82  fastlio_mapping

