Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:00 PM  1000    621960   12.00    5.00    0.00    0.00   17.00    12  10928.00      0.00 2616516  196928   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:01 PM  1000    621960   26.00    3.00    0.00    0.00   29.00     4  10282.00      0.00 2617980  220080   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:02 PM  1000    621960   31.00    3.00    0.00    0.00   34.00     2   5915.00      0.00 2617988  227500   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:03 PM  1000    621960   30.00    3.00    0.00    0.00   33.00    14   3494.00      0.00 2617188  226576   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:04 PM  1000    621960   28.00    3.00    0.00    0.00   31.00     8   4753.00      0.00 2618756  235992   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:05 PM  1000    621960   32.00    2.00    0.00    0.00   34.00     6   2827.00      0.00 2619160  235460   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:06 PM  1000    621960   30.00    2.00    0.00    0.00   32.00     6   2484.00      0.00 2619164  241624   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:07 PM  1000    621960   32.00    2.00    0.00    0.00   34.00     6   1704.00      0.00 2619164  238868   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:08 PM  1000    621960   31.00    2.00    0.00    0.00   33.00     6   3881.00      0.00 2619052  239888   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:09 PM  1000    621960   26.00    3.00    0.00    0.00   29.00     8   3811.00      0.00 2619052  249468   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:10 PM  1000    621960   32.00    2.00    0.00    0.00   34.00     8   5315.00      0.00 2620808  253840   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:11 PM  1000    621960   33.00    3.00    0.00    0.00   36.00     6   4938.00      0.00 2619592  255336   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:12 PM  1000    621960   32.00    2.00    0.00    0.00   34.00    12   2514.00      0.00 2621492  259488   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:13 PM  1000    621960   28.00    2.00    0.00    0.00   30.00     5   2127.00      0.00 2622136  266080   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:14 PM  1000    621960   27.00    2.00    0.00    0.00   29.00    10   1877.00      0.00 2624756  267676   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:15 PM  1000    621960   24.00    3.00    0.00    0.00   27.00     2   1243.00      0.00 2624756  272860   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:16 PM  1000    621960   29.00    4.00    0.00    0.00   33.00    10   2652.00      0.00 2623436  274212   0.84  fastlio_mapping

