Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:35:58 PM  1000    626256   12.00    4.00    0.00    0.00   16.00     6  10906.00      0.00 2618152  194956   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:35:59 PM  1000    626256   28.00    4.00    0.00    0.00   32.00    14   9182.00      0.00 2618956  223712   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:00 PM  1000    626256   29.00    3.00    0.00    0.00   32.00    12   5234.00      0.00 2619012  229752   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:01 PM  1000    626256   34.00    3.00    0.00    0.00   37.00    12   3610.00      0.00 2619012  236664   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:02 PM  1000    626256   29.00    2.00    0.00    0.00   31.00     8   2679.00      0.00 2619012  237880   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:03 PM  1000    626256   24.00    2.00    0.00    0.00   26.00     2   1311.00      0.00 2619156  237772   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:04 PM  1000    626256   26.00    2.00    0.00    0.00   28.00     6   2447.00      0.00 2619804  242904   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:05 PM  1000    626256   28.00    2.00    0.00    0.00   30.00     6   1949.00      0.00 2619804  238576   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:06 PM  1000    626256   28.00    1.00    0.00    0.00   29.00     4   3132.00      0.00 2619804  238232   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:07 PM  1000    626256   29.00    3.00    0.00    0.00   32.00     8   5927.00      0.00 2619804  248284   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:08 PM  1000    626256   36.00    3.00    0.00    0.00   39.00    14   4352.00      0.00 2622076  248844   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:09 PM  1000    626256   32.00    2.00    0.00    0.00   34.00    12   3360.00      0.00 2622076  259148   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:10 PM  1000    626256   34.00    3.00    0.00    0.00   37.00     4   1125.00      0.00 2622076  263372   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:11 PM  1000    626256   24.00    2.00    0.00    0.00   26.00     6   1803.00      0.00 2627000  268568   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:12 PM  1000    626256   31.00    2.00    0.00    0.00   33.00     8   1429.00      0.00 2627076  272088   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:13 PM  1000    626256   30.00    2.00    0.00    0.00   32.00     6    492.00      0.00 2627152  273816   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:14 PM  1000    626256   29.00    2.00    0.00    0.00   31.00     2   1152.00      0.00 2626284  277896   0.85  fastlio_mapping

