Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:39 PM  1000    623935    1.00    1.00    0.00    0.00    2.00     8     68.00      0.00 2613016  156288   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:40 PM  1000    623935    4.00    4.00    0.00    0.00    8.00     8  12216.00      0.00 2616144  189100   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:41 PM  1000    623935   10.00    3.00    0.00    0.00   13.00     6  10925.00      0.00 2616988  229112   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:42 PM  1000    623935   26.00    3.00    0.00    0.00   29.00     8   5666.00      0.00 2620052  237388   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:43 PM  1000    623935   24.00    2.00    0.00    0.00   26.00     0   5422.00      0.00 2621500  245904   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:44 PM  1000    623935   26.00    2.00    0.00    0.00   28.00     6   3081.00      0.00 2621500  246200   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:45 PM  1000    623935   25.00    2.00    0.00    0.00   27.00     0   4990.00      0.00 2621500  250800   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:46 PM  1000    623935   22.00    1.00    0.00    0.00   23.00     0   3705.00      0.00 2621500  253052   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:47 PM  1000    623935   24.00    1.00    0.00    0.00   25.00     2   2783.00      0.00 2621508  258948   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:48 PM  1000    623935   27.00    3.00    0.00    0.00   30.00     4   7378.00      0.00 2621756  269288   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:49 PM  1000    623935   23.00    2.00    0.00    0.00   25.00     4   4362.00      0.00 2622544  273692   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:50 PM  1000    623935   29.00    1.00    0.00    0.00   30.00     4   4953.00      0.00 2623336  271500   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:51 PM  1000    623935   25.00    3.00    0.00    0.00   28.00     6   3546.00      0.00 2623952  277684   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:52 PM  1000    623935   24.00    2.00    0.00    0.00   26.00     8   3565.00      0.00 2624120  280684   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:53 PM  1000    623935   24.00    1.00    0.00    0.00   25.00    10   2851.00      0.00 2625408  286208   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:54 PM  1000    623935   24.00    2.00    0.00    0.00   26.00     8   3051.00      0.00 2625488  291488   0.89  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:55 PM  1000    623935   28.00    2.00    0.00    0.00   30.00     2   3797.00      0.00 2628428  299320   0.92  fastlio_mapping

