Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:00 PM  1000    640580    4.00    3.00    0.00    0.00    7.00    10   3436.00      0.00 2614476  166656   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:01 PM  1000    640580   16.00    4.00    0.00    0.00   20.00    10  12491.00      0.00 2616308  213500   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:02 PM  1000    640580   20.00    2.00    0.00    0.00   22.00    10   5038.00      0.00 2616308  225828   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:03 PM  1000    640580   21.00    3.00    0.00    0.00   24.00     3   4139.00      0.00 2616600  227644   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:04 PM  1000    640580   22.00    3.00    0.00    0.00   25.00     6   2396.00      0.00 2616600  225692   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:05 PM  1000    640580   22.00    3.00    0.00    0.00   25.00     4   3335.00      0.00 2618492  226732   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:06 PM  1000    640580   21.00    2.00    0.00    0.00   23.00     6   2265.00      0.00 2618492  230252   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:07 PM  1000    640580   23.00    3.00    0.00    0.00   26.00     6   2763.00      0.00 2618492  230212   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:08 PM  1000    640580   19.00    4.00    0.00    0.00   23.00     8   3034.00      0.00 2618780  231476   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:09 PM  1000    640580   21.00    3.00    0.00    0.00   24.00     2   3807.00      0.00 2618780  229104   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:10 PM  1000    640580   25.00    2.00    0.00    0.00   27.00     4   4261.00      0.00 2620896  237180   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:11 PM  1000    640580   22.00    4.00    0.00    0.00   26.00     6   2510.00      0.00 2620896  234520   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:12 PM  1000    640580   19.00    2.00    0.00    0.00   21.00     8   2721.00      0.00 2620896  236632   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:13 PM  1000    640580   19.00    2.00    0.00    0.00   21.00    12   3432.00      0.00 2620896  237892   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:14 PM  1000    640580   28.00    2.00    0.00    0.00   30.00     0   3803.00      0.00 2620896  250528   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:15 PM  1000    640580   24.00    3.00    0.00    0.00   27.00     1   1628.00      0.00 2620896  255836   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:16 PM  1000    640580   20.00    2.00    0.00    0.00   22.00     1   1862.00      0.00 2621744  261364   0.80  fastlio_mapping

