Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:17 PM  1000    636615   10.00    5.00    0.00    0.00   15.00    12  11127.00      0.00 2616816  196556   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:18 PM  1000    636615   32.00    5.00    0.00    0.00   37.00     2  10682.00      0.00 2618232  220828   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:19 PM  1000    636615   27.00    4.00    0.00    0.00   31.00     4   6287.00      0.00 2617360  229812   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:20 PM  1000    636615   32.00    3.00    0.00    0.00   35.00     2   3461.00      0.00 2617360  233884   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:21 PM  1000    636615   32.00    3.00    0.00    0.00   35.00     8   2846.00      0.00 2617816  239716   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:22 PM  1000    636615   32.00    2.00    0.00    0.00   34.00    10   2170.00      0.00 2617816  236372   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:23 PM  1000    636615   34.00    1.00    0.00    0.00   35.00    14   3451.00      0.00 2617816  239984   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:24 PM  1000    636615   25.00    3.00    0.00    0.00   28.00     6   3357.00      0.00 2619484  241112   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:25 PM  1000    636615   29.00    3.00    0.00    0.00   32.00     2   1918.00      0.00 2620000  240380   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:26 PM  1000    636615   30.00    2.00    0.00    0.00   32.00     4   5258.00      0.00 2620300  242008   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:27 PM  1000    636615   35.00    3.00    0.00    0.00   38.00     8   5223.00      0.00 2620300  248192   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:28 PM  1000    636615   28.00    3.00    0.00    0.00   31.00     6   6284.00      0.00 2620492  262604   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:29 PM  1000    636615   33.00    2.00    0.00    0.00   35.00    10   1580.00      0.00 2621348  261540   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:30 PM  1000    636615   32.00    2.00    0.00    0.00   34.00    12   3071.00      0.00 2623768  269524   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:31 PM  1000    636615   29.00    3.00    0.00    0.00   32.00     1   2672.00      0.00 2623768  272700   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:32 PM  1000    636615   33.00    2.00    0.00    0.00   35.00     1   2362.00      0.00 2624644  270352   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:56:33 PM  1000    636615   34.00    1.00    0.00    0.00   35.00    10   2951.00      0.00 2624644  279024   0.86  fastlio_mapping

