Linux 6.8.0-87-generic (jschoi) 	09/11/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:35 PM  1000   2412904    6.00    3.00    0.00    0.00    9.00    12   3573.00      0.00 2620696  166176   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:36 PM  1000   2412904   14.00    3.00    0.00    0.00   17.00    14   2569.00      0.00 2620696  172444   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:37 PM  1000   2412904   14.00    3.00    0.00    0.00   17.00    14   2476.00      0.00 2621704  180300   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:38 PM  1000   2412904   13.00    1.00    0.00    0.00   14.00    14   1120.00      0.00 2621704  184716   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:39 PM  1000   2412904   13.00    2.00    0.00    0.00   15.00    12    557.00      0.00 2621704  187020   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:40 PM  1000   2412904   14.00    2.00    0.00    0.00   16.00     2    154.00      0.00 2621704  187404   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:41 PM  1000   2412904   14.00    0.00    0.00    0.00   14.00     4    126.00      0.00 2621704  187788   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:42 PM  1000   2412904   11.00    2.00    0.00    0.00   13.00     4    240.00      0.00 2621704  188556   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:43 PM  1000   2412904   11.00    2.00    0.00    0.00   13.00     4    262.00      0.00 2621704  189708   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:44 PM  1000   2412904   13.00    2.00    0.00    0.00   15.00    10    139.00      0.00 2621704  190284   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:45 PM  1000   2412904   13.00    1.00    0.00    0.00   14.00    14     72.00      0.00 2621704  190668   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:46 PM  1000   2412904   13.00    2.00    0.00    0.00   15.00    14    172.00      0.00 2621704  191436   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:47 PM  1000   2412904   13.00    2.00    0.00    0.00   15.00     8     61.00      0.00 2621704  191628   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:48 PM  1000   2412904   14.00    2.00    0.00    0.00   16.00    14    132.00      0.00 2621704  192012   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:49 PM  1000   2412904   14.00    1.00    0.00    0.00   15.00     0    114.00      0.00 2621704  192396   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:50 PM  1000   2412904   13.00    3.00    0.00    0.00   16.00    12     60.00      0.00 2622008  192780   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:23:51 PM  1000   2412904   12.00    3.00    0.00    0.00   15.00    12     29.00      0.00 2622008  192972   0.59  fastlio_mapping

