Linux 6.8.0-87-generic (jschoi) 	09/11/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:15 PM  1000   2287709    8.00    2.00    0.00    0.00   10.00     4   3570.00      0.00 2621448  167124   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:16 PM  1000   2287709   15.00    2.00    0.00    0.00   17.00     8   2913.00      0.00 2621448  174556   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:17 PM  1000   2287709   15.00    3.00    0.00    0.00   18.00     4   1618.00      0.00 2621480  179580   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:18 PM  1000   2287709   13.00    3.00    0.00    0.00   16.00     4    661.00      0.00 2621812  182268   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:19 PM  1000   2287709   13.00    2.00    0.00    0.00   15.00    10    667.00      0.00 2622440  185148   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:20 PM  1000   2287709   14.00    3.00    0.00    0.00   17.00     6    376.00      0.00 2622440  186300   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:21 PM  1000   2287709   14.00    3.00    0.00    0.00   17.00    10    549.00      0.00 2622440  188604   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:22 PM  1000   2287709   15.00    3.00    0.00    0.00   18.00    12    466.00      0.00 2622440  190524   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:23 PM  1000   2287709   11.00    2.00    0.00    0.00   13.00    10     52.00      0.00 2622440  190716   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:24 PM  1000   2287709   13.00    2.00    0.00    0.00   15.00     2    200.00      0.00 2622440  191484   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:25 PM  1000   2287709   14.00    3.00    0.00    0.00   17.00     4     24.00      0.00 2622572  191676   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:26 PM  1000   2287709   14.00    2.00    0.00    0.00   16.00    12     98.00      0.00 2622572  192060   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:27 PM  1000   2287709   14.00    3.00    0.00    0.00   17.00     6    155.00      0.00 2622572  192636   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:28 PM  1000   2287709   14.00    1.00    0.00    0.00   15.00     6     11.00      0.00 2622572  192636   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:29 PM  1000   2287709   13.00    2.00    0.00    0.00   15.00     6    147.00      0.00 2622572  193020   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:30 PM  1000   2287709   14.00    2.00    0.00    0.00   16.00     6    146.00      0.00 2622572  193596   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:31 PM  1000   2287709   14.00    2.00    0.00    0.00   16.00     6     22.00      0.00 2622572  193596   0.59  fastlio_mapping

