Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:41:48 PM  1000    922168    3.00    2.00    0.00    0.00    5.00     9   2960.00      0.00 2614472  165864   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:41:49 PM  1000    922168   14.00    4.00    0.00    0.00   18.00     9   7068.00      0.00 2616512  189996   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:41:50 PM  1000    922168   18.00    3.00    0.00    0.00   21.00     8   4991.00      0.00 2617416  202692   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:41:51 PM  1000    922168   18.00    3.00    0.00    0.00   21.00    10   3037.00      0.00 2617416  202620   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:41:52 PM  1000    922168   19.00    3.00    0.00    0.00   22.00     9   3381.00      0.00 2617648  204224   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:41:53 PM  1000    922168   19.00    3.00    0.00    0.00   22.00     9   3287.00      0.00 2617648  209940   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:41:54 PM  1000    922168   18.00    3.00    0.00    0.00   21.00     9   2271.00      0.00 2617648  210264   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:41:55 PM  1000    922168   17.00    4.00    0.00    0.00   21.00     9   2441.00      0.00 2617648  208696   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:41:56 PM  1000    922168   18.00    2.00    0.00    0.00   20.00     9   1804.00      0.00 2617648  208604   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:41:57 PM  1000    922168   20.00    3.00    0.00    0.00   23.00     9   2392.00      0.00 2617656  208796   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:41:58 PM  1000    922168   17.00    3.00    0.00    0.00   20.00     0   2803.00      0.00 2617696  215856   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:41:59 PM  1000    922168   16.00    4.00    0.00    0.00   20.00     2    981.00      0.00 2617696  217580   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:42:00 PM  1000    922168   15.00    2.00    0.00    0.00   17.00     9   1477.00      0.00 2616584  218268   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:42:01 PM  1000    922168   17.00    4.00    0.00    0.00   21.00     9   2016.00      0.00 2616584  222444   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:42:02 PM  1000    922168   17.00    3.00    0.00    0.00   20.00     9    817.00      0.00 2617700  223720   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:42:03 PM  1000    922168   20.00    2.00    0.00    0.00   22.00     9    331.00      0.00 2618380  224872   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:42:04 PM  1000    922168   19.00    2.00    0.00    0.00   21.00     9    478.00      0.00 2618380  223396   0.69  fastlio_mapping

