Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:23 PM  1000    930209    5.00    4.00    0.00    0.00    9.00    12   5508.00      0.00 2616736  175836   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:24 PM  1000    930209   16.00    4.00    0.00    0.00   20.00    12   6953.00      0.00 2617656  199768   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:25 PM  1000    930209   18.00    3.00    0.00    0.00   21.00    14   2516.00      0.00 2618172  204412   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:26 PM  1000    930209   16.00    3.00    0.00    0.00   19.00    12   3083.00      0.00 2618172  211360   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:27 PM  1000    930209   18.00    2.00    0.00    0.00   20.00    12   2594.00      0.00 2618196  215828   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:28 PM  1000    930209   20.00    2.00    0.00    0.00   22.00     6   1689.00      0.00 2618196  215248   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:29 PM  1000    930209   20.00    2.00    0.00    0.00   22.00    12    743.00      0.00 2618196  216432   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:30 PM  1000    930209   18.00    3.00    0.00    0.00   21.00     8   3151.00      0.00 2618196  215396   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:31 PM  1000    930209   17.00    3.00    0.00    0.00   20.00     6   2963.00      0.00 2618196  216920   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:32 PM  1000    930209   19.00    2.00    0.00    0.00   21.00    10   2257.00      0.00 2618204  219504   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:33 PM  1000    930209   16.00    2.00    0.00    0.00   18.00     6    747.00      0.00 2616820  218756   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:34 PM  1000    930209   15.00    3.00    0.00    0.00   18.00     0   2120.00      0.00 2618676  221476   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:35 PM  1000    930209   19.00    3.00    0.00    0.00   22.00    10   1285.00      0.00 2616820  224932   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:36 PM  1000    930209   20.00    2.00    0.00    0.00   22.00     4   1369.00      0.00 2617956  223196   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:37 PM  1000    930209   18.00    2.00    0.00    0.00   20.00     6   1999.00      0.00 2617956  225776   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:38 PM  1000    930209   20.00    2.00    0.00    0.00   22.00     6   1252.00      0.00 2619228  229348   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:57:39 PM  1000    930209   21.00    2.00    0.00    0.00   23.00     6   1131.00      0.00 2620604  225452   0.69  fastlio_mapping

