Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:30 PM  1000     18485    6.00    5.00    0.00    0.00   11.00     0   5206.00      0.00 2616096  173504   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:31 PM  1000     18485   14.00    3.00    0.00    0.00   17.00     2   7048.00      0.00 2618440  199584   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:32 PM  1000     18485   16.00    3.00    0.00    0.00   19.00     0   4314.00      0.00 2616940  209852   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:33 PM  1000     18485   21.00    2.00    0.00    0.00   23.00     4   2796.00      0.00 2616940  214272   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:34 PM  1000     18485   18.00    4.00    0.00    0.00   22.00     0   2249.00      0.00 2616940  212280   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:35 PM  1000     18485   17.00    4.00    0.00    0.00   21.00     8   3540.00      0.00 2616952  211532   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:36 PM  1000     18485   19.00    3.00    0.00    0.00   22.00     8   1701.00      0.00 2616952  211300   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:37 PM  1000     18485   19.00    3.00    0.00    0.00   22.00    10   3571.00      0.00 2616952  211576   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:38 PM  1000     18485   18.00    2.00    0.00    0.00   20.00    14   3671.00      0.00 2618372  212948   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:39 PM  1000     18485   19.00    3.00    0.00    0.00   22.00     6   2292.00      0.00 2618372  213456   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:40 PM  1000     18485   20.00    2.00    0.00    0.00   22.00     6   1909.00      0.00 2618372  215560   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:41 PM  1000     18485   20.00    3.00    0.00    0.00   23.00     2   3180.00      0.00 2620036  216196   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:42 PM  1000     18485   18.00    2.00    0.00    0.00   20.00    12   2844.00      0.00 2620036  215848   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:43 PM  1000     18485   21.00    3.00    0.00    0.00   24.00    14   2171.00      0.00 2618628  215540   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:44 PM  1000     18485   21.00    2.00    0.00    0.00   23.00     0   3823.00      0.00 2620660  220652   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:45 PM  1000     18485   19.00    3.00    0.00    0.00   22.00    14   1616.00      0.00 2621272  215828   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:08:46 PM  1000     18485   21.00    3.00    0.00    0.00   24.00    14   3121.00      0.00 2621272  215560   0.66  fastlio_mapping

