Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:17 PM  1000     25750    4.00    3.00    0.00    0.00    7.00    14   2836.00      0.00 2615080  165424   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:18 PM  1000     25750   11.00    5.00    0.00    0.00   16.00    14   6945.00      0.00 2617828  192384   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:19 PM  1000     25750   17.00    3.00    0.00    0.00   20.00     4   4716.00      0.00 2618972  204660   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:20 PM  1000     25750   18.00    3.00    0.00    0.00   21.00    10   2011.00      0.00 2618996  208236   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:21 PM  1000     25750   17.00    2.00    0.00    0.00   19.00     8   1180.00      0.00 2618996  209252   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:22 PM  1000     25750   20.00    2.00    0.00    0.00   22.00    12   1499.00      0.00 2619032  206940   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:23 PM  1000     25750   16.00    2.00    0.00    0.00   18.00    12   1863.00      0.00 2619032  209200   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:24 PM  1000     25750   15.00    3.00    0.00    0.00   18.00     0   2331.00      0.00 2619032  211136   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:25 PM  1000     25750   15.00    2.00    0.00    0.00   17.00    12   1708.00      0.00 2619032  210820   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:26 PM  1000     25750   16.00    3.00    0.00    0.00   19.00     2   2552.00      0.00 2619032  212268   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:27 PM  1000     25750   15.00    2.00    0.00    0.00   17.00     6   2065.00      0.00 2619032  211552   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:28 PM  1000     25750   17.00    3.00    0.00    0.00   20.00     8   2682.00      0.00 2619032  212764   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:29 PM  1000     25750   16.00    3.00    0.00    0.00   19.00    10   2206.00      0.00 2619032  210520   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:30 PM  1000     25750   17.00    3.00    0.00    0.00   20.00    12   2339.00      0.00 2619952  214080   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:31 PM  1000     25750   15.00    3.00    0.00    0.00   18.00    10   1358.00      0.00 2619952  219264   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:32 PM  1000     25750   17.00    2.00    0.00    0.00   19.00    12   1058.00      0.00 2619952  218208   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:23:33 PM  1000     25750   18.00    2.00    0.00    0.00   20.00     8   2107.00      0.00 2619952  222480   0.68  fastlio_mapping

