Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:53:55 PM  1000    605467    4.00    3.00    0.00    0.00    7.00    12   4773.00      0.00 2615244  173224   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:53:56 PM  1000    605467   15.00    3.00    0.00    0.00   18.00     9   5075.00      0.00 2617304  189724   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:53:57 PM  1000    605467   17.00    3.00    0.00    0.00   20.00     9   3823.00      0.00 2617484  198056   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:53:58 PM  1000    605467   20.00    2.00    0.00    0.00   22.00     9   4112.00      0.00 2617484  206596   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:53:59 PM  1000    605467   18.00    3.00    0.00    0.00   21.00     9   3371.00      0.00 2617484  209508   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:54:00 PM  1000    605467   18.00    3.00    0.00    0.00   21.00     9   1932.00      0.00 2617484  209372   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:54:01 PM  1000    605467   17.00    3.00    0.00    0.00   20.00     9   2227.00      0.00 2617484  209532   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:54:02 PM  1000    605467   19.00    1.00    0.00    0.00   20.00     9   2404.00      0.00 2618008  209744   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:54:03 PM  1000    605467   16.00    3.00    0.00    0.00   19.00     9   2106.00      0.00 2618008  212680   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:54:04 PM  1000    605467   18.00    3.00    0.00    0.00   21.00     9   3090.00      0.00 2617044  220744   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:54:05 PM  1000    605467   19.00    2.00    0.00    0.00   21.00     9   1006.00      0.00 2617044  222188   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:54:06 PM  1000    605467   17.00    2.00    0.00    0.00   19.00     9   1211.00      0.00 2617088  223572   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:54:07 PM  1000    605467   19.00    2.00    0.00    0.00   21.00     9   1066.00      0.00 2617088  224032   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:54:08 PM  1000    605467   17.00    2.00    0.00    0.00   19.00    12   1045.00      0.00 2617088  226192   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:54:09 PM  1000    605467   18.00    3.00    0.00    0.00   21.00     4    797.00      0.00 2617636  229264   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:54:10 PM  1000    605467   18.00    1.00    0.00    0.00   19.00     4    397.00      0.00 2617636  224968   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:54:11 PM  1000    605467   16.00    2.00    0.00    0.00   18.00     0   1028.00      0.00 2617636  226848   0.70  fastlio_mapping

