Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:39 PM  1000    861253    2.00    3.00    0.00    0.00    5.00     0   1773.00      0.00 2615248  161116   0.49  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:40 PM  1000    861253   14.00    2.00    0.00    0.00   16.00     2   9792.00      0.00 2617828  195560   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:41 PM  1000    861253   19.00    3.00    0.00    0.00   22.00     0   4117.00      0.00 2617844  210084   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:42 PM  1000    861253   20.00    3.00    0.00    0.00   23.00     8   3636.00      0.00 2618540  215232   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:43 PM  1000    861253   19.00    2.00    0.00    0.00   21.00     2   2538.00      0.00 2618588  221076   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:44 PM  1000    861253   22.00    2.00    0.00    0.00   24.00     0   1679.00      0.00 2618588  220260   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:45 PM  1000    861253   21.00    3.00    0.00    0.00   24.00     2   2096.00      0.00 2618588  221080   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:46 PM  1000    861253   20.00    2.00    0.00    0.00   22.00     4   3299.00      0.00 2618588  220980   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:47 PM  1000    861253   19.00    3.00    0.00    0.00   22.00     4   2787.00      0.00 2619768  224340   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:48 PM  1000    861253   17.00    4.00    0.00    0.00   21.00    10   1635.00      0.00 2617848  220920   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:49 PM  1000    861253   16.00    2.00    0.00    0.00   18.00    13   1739.00      0.00 2619528  225336   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:50 PM  1000    861253   19.00    3.00    0.00    0.00   22.00    13   1237.00      0.00 2619528  223852   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:51 PM  1000    861253   19.00    2.00    0.00    0.00   21.00    13   1466.00      0.00 2619528  227840   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:52 PM  1000    861253   17.00    4.00    0.00    0.00   21.00    13    931.00      0.00 2619528  226508   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:53 PM  1000    861253   18.00    2.00    0.00    0.00   20.00    13    981.00      0.00 2619528  225132   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:54 PM  1000    861253   20.00    2.00    0.00    0.00   22.00    13     23.00      0.00 2619528  225324   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:55 PM  1000    861253   17.00    1.00    0.00    0.00   18.00     2    620.00      0.00 2619528  228012   0.70  fastlio_mapping

