Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:26:48 AM  1000    335519    2.00    3.00    0.00    0.00    5.00    12   1792.00      0.00 2615272  162100   0.50  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:26:49 AM  1000    335519   14.00    3.00    0.00    0.00   17.00     0  11529.00      0.00 2616180  195688   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:26:50 AM  1000    335519   18.00    4.00    0.00    0.00   22.00    14   5047.00      0.00 2616232  203440   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:26:51 AM  1000    335519   22.00    3.00    0.00    0.00   25.00    14   4008.00      0.00 2617636  213756   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:26:52 AM  1000    335519   21.00    3.00    0.00    0.00   24.00    12   4482.00      0.00 2617852  219128   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:26:53 AM  1000    335519   19.00    3.00    0.00    0.00   22.00     8   1787.00      0.00 2617852  222960   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:26:54 AM  1000    335519   21.00    2.00    0.00    0.00   23.00     8   2132.00      0.00 2617852  222680   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:26:55 AM  1000    335519   16.00    2.00    0.00    0.00   18.00     6   1438.00      0.00 2617852  226152   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:26:56 AM  1000    335519   20.00    3.00    0.00    0.00   23.00    10   1807.00      0.00 2617852  224232   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:26:57 AM  1000    335519   16.00    2.00    0.00    0.00   18.00     2    289.00      0.00 2617852  222760   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:26:58 AM  1000    335519   15.00    3.00    0.00    0.00   18.00     2   2333.00      0.00 2617852  226908   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:26:59 AM  1000    335519   18.00    4.00    0.00    0.00   22.00     6   1018.00      0.00 2617852  225704   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:27:00 AM  1000    335519   19.00    2.00    0.00    0.00   21.00     6   1941.00      0.00 2618696  228092   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:27:01 AM  1000    335519   22.00    2.00    0.00    0.00   24.00     4   1571.00      0.00 2618696  229048   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:27:02 AM  1000    335519   18.00    2.00    0.00    0.00   20.00     8   1108.00      0.00 2618696  230104   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:27:03 AM  1000    335519   18.00    2.00    0.00    0.00   20.00    10   1984.00      0.00 2618540  229568   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:27:04 AM  1000    335519   16.00    2.00    0.00    0.00   18.00     4   1367.00      0.00 2618540  229472   0.70  fastlio_mapping

