Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:03:54 AM  1000    457589    2.00    2.00    0.00    0.00    4.00    12   1724.00      0.00 2615184  161484   0.50  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:03:55 AM  1000    457589   12.00    4.00    0.00    0.00   16.00     5   9725.00      0.00 2616004  196688   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:03:56 AM  1000    457589   19.80    3.96    0.00    0.00   23.76     5   5088.12      0.00 2616004  209952   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:03:57 AM  1000    457589   20.00    4.00    0.00    0.00   24.00     5   3041.00      0.00 2617756  216896   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:03:58 AM  1000    457589   19.00    3.00    0.00    0.00   22.00     5   2605.00      0.00 2617772  215008   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:03:59 AM  1000    457589   18.00    3.00    0.00    0.00   21.00     5   2826.00      0.00 2617772  217244   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:00 AM  1000    457589   19.00    2.00    0.00    0.00   21.00    10   1987.00      0.00 2617828  219832   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:01 AM  1000    457589   19.00    2.00    0.00    0.00   21.00     4   2214.00      0.00 2618280  224160   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:02 AM  1000    457589   18.00    2.00    0.00    0.00   20.00     2    658.00      0.00 2618280  225116   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:03 AM  1000    457589   18.00    3.00    0.00    0.00   21.00     6   1226.00      0.00 2618280  226000   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:04 AM  1000    457589   18.00    3.00    0.00    0.00   21.00     8    726.00      0.00 2618280  225412   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:05 AM  1000    457589   16.00    2.00    0.00    0.00   18.00    12    988.00      0.00 2618280  229060   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:06 AM  1000    457589   16.00    3.00    0.00    0.00   19.00     8    593.00      0.00 2618580  225348   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:07 AM  1000    457589   18.00    3.00    0.00    0.00   21.00     6    851.00      0.00 2618580  225416   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:08 AM  1000    457589   16.00    3.00    0.00    0.00   19.00     6   1025.00      0.00 2618580  225704   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:09 AM  1000    457589   19.00    3.00    0.00    0.00   22.00    12    935.00      0.00 2618580  229544   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:04:10 AM  1000    457589   18.00    3.00    0.00    0.00   21.00     0    786.00      0.00 2618616  228280   0.70  fastlio_mapping

