Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:33 AM  1000    408097    2.00    2.00    0.00    0.00    4.00     4   1726.00      0.00 2615176  161472   0.50  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:34 AM  1000    408097   12.00    6.00    0.00    0.00   18.00    12   8421.00      0.00 2617508  188756   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:35 AM  1000    408097   18.00    4.00    0.00    0.00   22.00     8   4392.00      0.00 2617812  201048   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:36 AM  1000    408097   19.00    2.00    0.00    0.00   21.00     4   3673.00      0.00 2617812  206812   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:37 AM  1000    408097   17.00    4.00    0.00    0.00   21.00    14   3738.00      0.00 2617816  216504   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:38 AM  1000    408097   17.00    2.00    0.00    0.00   19.00     2   1276.00      0.00 2617816  214344   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:39 AM  1000    408097   15.00    4.00    0.00    0.00   19.00     8   2100.00      0.00 2617836  215984   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:40 AM  1000    408097   17.00    3.00    0.00    0.00   20.00    12   2395.00      0.00 2616124  220484   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:41 AM  1000    408097   18.00    3.00    0.00    0.00   21.00    12   1161.00      0.00 2617564  216240   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:42 AM  1000    408097   16.00    2.00    0.00    0.00   18.00    10   1704.00      0.00 2616124  217724   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:43 AM  1000    408097   16.00    4.00    0.00    0.00   20.00     5   1224.00      0.00 2616124  218864   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:44 AM  1000    408097   15.00    3.00    0.00    0.00   18.00     5   2771.00      0.00 2616124  217008   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:45 AM  1000    408097   13.00    3.00    0.00    0.00   16.00     5   2811.00      0.00 2616124  217000   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:46 AM  1000    408097   18.00    3.00    0.00    0.00   21.00     5   1343.00      0.00 2616124  218556   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:47 AM  1000    408097   16.00    3.00    0.00    0.00   19.00     6   1345.00      0.00 2616124  218756   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:48 AM  1000    408097   19.00    2.00    0.00    0.00   21.00     5   1250.00      0.00 2616124  218252   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:49 AM  1000    408097   18.00    2.00    0.00    0.00   20.00     5   2242.00      0.00 2617600  217080   0.67  fastlio_mapping

