Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:07 AM  1000    485467    1.00    1.00    0.00    0.00    2.00     2     74.00      0.00 2613012  156864   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:08 AM  1000    485467   14.00    4.00    0.00    0.00   18.00     8  10219.00      0.00 2616720  192772   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:09 AM  1000    485467   20.00    4.00    0.00    0.00   24.00     2   4234.00      0.00 2617400  205360   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:10 AM  1000    485467   19.00    3.00    0.00    0.00   22.00    12   4649.00      0.00 2618676  216576   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:11 AM  1000    485467   20.00    2.00    0.00    0.00   22.00     1   2432.00      0.00 2618676  220480   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:12 AM  1000    485467   21.00    2.00    0.00    0.00   23.00     4   1390.00      0.00 2618676  222336   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:13 AM  1000    485467   17.00    2.00    0.00    0.00   19.00     4   1394.00      0.00 2618676  217328   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:14 AM  1000    485467   20.00    2.00    0.00    0.00   22.00     6   1668.00      0.00 2618676  222384   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:15 AM  1000    485467   21.00    3.00    0.00    0.00   24.00     2   1854.00      0.00 2617440  223028   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:16 AM  1000    485467   20.00    3.00    0.00    0.00   23.00     6   1408.00      0.00 2617856  221512   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:17 AM  1000    485467   19.00    2.00    0.00    0.00   21.00     6   1935.00      0.00 2617856  225452   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:18 AM  1000    485467   21.00    4.00    0.00    0.00   25.00     8   2077.00      0.00 2617988  225436   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:19 AM  1000    485467   18.00    2.00    0.00    0.00   20.00     2   1950.00      0.00 2616708  219720   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:20 AM  1000    485467   19.00    4.00    0.00    0.00   23.00     6   2815.00      0.00 2616708  223544   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:21 AM  1000    485467   19.00    2.00    0.00    0.00   21.00     2   1992.00      0.00 2616708  227752   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:22 AM  1000    485467   17.00    3.00    0.00    0.00   20.00     6   1933.00      0.00 2617428  223704   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:26:23 AM  1000    485467   22.00    4.00    0.00    0.00   26.00     8   3676.00      0.00 2617428  221612   0.68  fastlio_mapping

