Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:09 AM  1000    434113    1.00    1.00    0.00    0.00    2.00     6     74.00      0.00 2613016  156864   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:10 AM  1000    434113   12.00    4.00    0.00    0.00   16.00     8  10579.00      0.00 2617496  193060   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:11 AM  1000    434113   16.00    3.00    0.00    0.00   19.00    10   3802.00      0.00 2617544  204428   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:12 AM  1000    434113   17.00    3.00    0.00    0.00   20.00     2   3442.00      0.00 2617544  213044   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:13 AM  1000    434113   16.00    3.00    0.00    0.00   19.00     6    749.00      0.00 2617544  209028   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:14 AM  1000    434113   17.00    2.00    0.00    0.00   19.00     0   2790.00      0.00 2617564  209444   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:15 AM  1000    434113   16.00    3.00    0.00    0.00   19.00    10   3394.00      0.00 2615980  213708   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:16 AM  1000    434113   17.00    4.00    0.00    0.00   21.00     1   2534.00      0.00 2615980  213192   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:17 AM  1000    434113   19.00    3.00    0.00    0.00   22.00     1   2136.00      0.00 2616220  215972   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:18 AM  1000    434113   18.00    3.00    0.00    0.00   21.00     1   2046.00      0.00 2615996  217016   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:19 AM  1000    434113   18.00    2.00    0.00    0.00   20.00     1   2258.00      0.00 2615996  213252   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:20 AM  1000    434113   15.00    3.00    0.00    0.00   18.00     1   2175.00      0.00 2616332  215924   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:21 AM  1000    434113   18.00    3.00    0.00    0.00   21.00     6   2484.00      0.00 2618436  219252   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:22 AM  1000    434113   17.00    3.00    0.00    0.00   20.00     8   3288.00      0.00 2618460  219724   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:23 AM  1000    434113   16.00    3.00    0.00    0.00   19.00    12   2082.00      0.00 2618460  221240   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:24 AM  1000    434113   16.00    4.00    0.00    0.00   20.00    12   2908.00      0.00 2618460  217648   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:25 AM  1000    434113   15.00    4.00    0.00    0.00   19.00    14   2576.00      0.00 2618460  219372   0.67  fastlio_mapping

