Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:05:40 PM  1000   1349886    7.00    3.00    0.00    0.00   10.00    10   8429.00      0.00 2616864  185996   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:05:41 PM  1000   1349886   13.00    2.00    0.00    0.00   15.00    14   6515.00      0.00 2620132  210932   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:05:42 PM  1000   1349886   20.00    4.00    0.00    0.00   24.00    14   3406.00      0.00 2620144  218940   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:05:43 PM  1000   1349886   20.00    3.00    0.00    0.00   23.00     4   3502.00      0.00 2620144  231216   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:05:44 PM  1000   1349886   21.00    2.00    0.00    0.00   23.00     2   1794.00      0.00 2620144  232636   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:05:45 PM  1000   1349886   20.00    2.00    0.00    0.00   22.00     4   1250.00      0.00 2620144  228688   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:05:46 PM  1000   1349886   21.00    2.00    0.00    0.00   23.00     6   1307.00      0.00 2620144  228244   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:05:47 PM  1000   1349886   17.00    3.00    0.00    0.00   20.00     6   1404.00      0.00 2620144  226060   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:05:48 PM  1000   1349886   19.00    2.00    0.00    0.00   21.00     8   1299.00      0.00 2620144  227644   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:05:49 PM  1000   1349886   19.00    4.00    0.00    0.00   23.00    12   1302.00      0.00 2620144  226360   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:05:50 PM  1000   1349886   19.00    3.00    0.00    0.00   22.00    14   4138.00      0.00 2620144  224604   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:05:51 PM  1000   1349886   18.00    4.00    0.00    0.00   22.00     8   3157.00      0.00 2620144  229592   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:05:52 PM  1000   1349886   22.00    2.00    0.00    0.00   24.00     4   2862.00      0.00 2620144  233744   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:05:53 PM  1000   1349886   22.00    2.00    0.00    0.00   24.00     4   1414.00      0.00 2620144  235836   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:05:54 PM  1000   1349886   20.00    2.00    0.00    0.00   22.00    10   1433.00      0.00 2620144  235932   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:05:55 PM  1000   1349886   20.00    2.00    0.00    0.00   22.00     4    663.00      0.00 2620144  232328   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
