Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:26 AM  1000    915985    8.00    4.00    0.00    0.00   12.00     8   9076.00      0.00 2615408  187368   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:27 AM  1000    915985   24.00    5.00    0.00    0.00   29.00     4   8488.00      0.00 2618164  212816   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:28 AM  1000    915985   25.00    3.00    0.00    0.00   28.00     8   7229.00      0.00 2618184  226564   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:29 AM  1000    915985   23.00    3.00    0.00    0.00   26.00     8   2415.00      0.00 2618188  219116   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:30 AM  1000    915985   25.00    4.00    0.00    0.00   29.00    10   5079.00      0.00 2618188  224480   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:31 AM  1000    915985   24.00    2.00    0.00    0.00   26.00     4   3036.00      0.00 2618188  232832   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:32 AM  1000    915985   26.00    2.00    0.00    0.00   28.00     2   1704.00      0.00 2616484  226596   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:33 AM  1000    915985   28.00    3.00    0.00    0.00   31.00    12   3567.00      0.00 2616484  228300   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:34 AM  1000    915985   29.00    2.00    0.00    0.00   31.00    10   3423.00      0.00 2616484  226148   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:35 AM  1000    915985   24.00    3.00    0.00    0.00   27.00    12   2880.00      0.00 2616484  224396   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:36 AM  1000    915985   27.00    2.00    0.00    0.00   29.00     2   2659.00      0.00 2618220  231280   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:37 AM  1000    915985   27.00    2.00    0.00    0.00   29.00    10   3188.00      0.00 2618220  229972   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:38 AM  1000    915985   26.00    3.00    0.00    0.00   29.00    12   1790.00      0.00 2618220  231220   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:39 AM  1000    915985   28.00    2.00    0.00    0.00   30.00    12   2723.00      0.00 2618220  225744   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:40 AM  1000    915985   26.00    2.00    0.00    0.00   28.00     8   3655.00      0.00 2618228  233800   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:41 AM  1000    915985   23.00    3.00    0.00    0.00   26.00    10   1133.00      0.00 2618740  236040   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:42 AM  1000    915985   25.00    2.00    0.00    0.00   27.00     0    886.00      0.00 2616880  232880   0.71  fastlio_mapping

