Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:24 AM  1000    921122   10.00    5.00    0.00    0.00   15.00     8  12915.00      0.00 2617288  200372   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:25 AM  1000    921122   25.00    3.00    0.00    0.00   28.00     0   9323.00      0.00 2617744  226784   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:26 AM  1000    921122   32.00    2.00    0.00    0.00   34.00     0   7392.00      0.00 2616444  226984   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:27 AM  1000    921122   29.00    4.00    0.00    0.00   33.00     2   7472.00      0.00 2616568  229640   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:28 AM  1000    921122   28.00    3.00    0.00    0.00   31.00     6   7877.00      0.00 2616692  229600   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:29 AM  1000    921122   28.00    3.00    0.00    0.00   31.00    10   6669.00      0.00 2616816  235476   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:30 AM  1000    921122   27.00    2.00    0.00    0.00   29.00    10   3780.00      0.00 2618640  234552   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:31 AM  1000    921122   30.00    3.00    0.00    0.00   33.00     4   4752.00      0.00 2618652  237360   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:32 AM  1000    921122   29.00    4.00    0.00    0.00   33.00     8   3883.00      0.00 2618652  239844   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:33 AM  1000    921122   26.00    2.00    0.00    0.00   28.00    12   4617.00      0.00 2618652  249548   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:34 AM  1000    921122   28.00    2.00    0.00    0.00   30.00     2   1044.00      0.00 2618652  249184   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:35 AM  1000    921122   30.00    2.00    0.00    0.00   32.00     0   1941.00      0.00 2619072  254424   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:36 AM  1000    921122   30.00    3.00    0.00    0.00   33.00     0   3382.00      0.00 2619072  252484   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:37 AM  1000    921122   30.00    2.00    0.00    0.00   32.00     0   1620.00      0.00 2619552  250844   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:38 AM  1000    921122   29.00    2.00    0.00    0.00   31.00     2   2546.00      0.00 2621940  256804   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:39 AM  1000    921122   27.00    2.00    0.00    0.00   29.00     4   1207.00      0.00 2621940  255208   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:25:40 AM  1000    921122   29.00    2.00    0.00    0.00   31.00     4   1401.00      0.00 2623808  258956   0.79  fastlio_mapping

