Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:11:43 PM  1000   1153928    5.00    3.00    0.00    0.00    8.00     4   6786.00      0.00 2615448  178452   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:11:44 PM  1000   1153928   16.00    4.00    0.00    0.00   20.00     6   6769.00      0.00 2616324  200092   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:11:45 PM  1000   1153928   20.00    3.00    0.00    0.00   23.00     6   4494.00      0.00 2616324  210884   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:11:46 PM  1000   1153928   17.00    3.00    0.00    0.00   20.00     6   2753.00      0.00 2616784  212376   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:11:47 PM  1000   1153928   20.00    4.00    0.00    0.00   24.00    10   4263.00      0.00 2616780  220100   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:11:48 PM  1000   1153928   17.00    2.00    0.00    0.00   19.00    12   2796.00      0.00 2616588  220320   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:11:49 PM  1000   1153928   19.00    3.00    0.00    0.00   22.00    12   2144.00      0.00 2618200  216108   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:11:50 PM  1000   1153928   19.00    3.00    0.00    0.00   22.00    12   3275.00      0.00 2616588  217648   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:11:51 PM  1000   1153928   20.00    2.00    0.00    0.00   22.00     8   2877.00      0.00 2616592  218996   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:11:52 PM  1000   1153928   21.00    2.00    0.00    0.00   23.00    14   2446.00      0.00 2616592  221740   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:11:53 PM  1000   1153928   20.00    3.00    0.00    0.00   23.00    14   2364.00      0.00 2616592  221540   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:11:54 PM  1000   1153928   17.00    2.00    0.00    0.00   19.00    14   1917.00      0.00 2616908  220056   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:11:55 PM  1000   1153928   19.00    3.00    0.00    0.00   22.00    10   2390.00      0.00 2619516  225648   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:11:56 PM  1000   1153928   18.00    2.00    0.00    0.00   20.00     8   2268.00      0.00 2618340  219592   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:11:57 PM  1000   1153928   18.00    1.00    0.00    0.00   19.00     0   2409.00      0.00 2618380  218172   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:11:58 PM  1000   1153928   19.00    2.00    0.00    0.00   21.00    14   1135.00      0.00 2618380  218840   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
