Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:27:51 PM  1000   1162459    5.00    2.00    0.00    0.00    7.00     2  10256.00      0.00 2616508  191120   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:27:52 PM  1000   1162459   19.00    4.00    0.00    0.00   23.00    14   7515.00      0.00 2618148  217812   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:27:53 PM  1000   1162459   26.00    3.00    0.00    0.00   29.00     6   4889.00      0.00 2618608  226360   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:27:54 PM  1000   1162459   23.00    2.00    0.00    0.00   25.00    10   2938.00      0.00 2618756  225424   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:27:55 PM  1000   1162459   21.00    4.00    0.00    0.00   25.00     4   3346.00      0.00 2619160  232524   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:27:56 PM  1000   1162459   24.00    2.00    0.00    0.00   26.00     6   2961.00      0.00 2619328  237400   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:27:57 PM  1000   1162459   19.00    2.00    0.00    0.00   21.00     7   2016.00      0.00 2620968  230376   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:27:58 PM  1000   1162459   25.00    3.00    0.00    0.00   28.00     7   4272.00      0.00 2619600  234780   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:27:59 PM  1000   1162459   22.00    2.00    0.00    0.00   24.00     7   1893.00      0.00 2618644  241480   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:00 PM  1000   1162459   22.00    1.00    0.00    0.00   23.00     7   2267.00      0.00 2619884  243856   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:01 PM  1000   1162459   22.00    2.00    0.00    0.00   24.00     7   2048.00      0.00 2618448  243464   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:02 PM  1000   1162459   20.00    1.00    0.00    0.00   21.00     7    546.00      0.00 2618564  244080   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:03 PM  1000   1162459   26.00    3.00    0.00    0.00   29.00     7   1388.00      0.00 2620148  247940   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:04 PM  1000   1162459   19.00    2.00    0.00    0.00   21.00     7    571.00      0.00 2620252  250244   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:05 PM  1000   1162459   22.00    1.00    0.00    0.00   23.00     7    405.00      0.00 2621720  252164   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:28:06 PM  1000   1162459   20.00    1.00    0.00    0.00   21.00     7    548.00      0.00 2621840  252432   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
