Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:08 AM  1000    881293   10.00    5.00    0.00    0.00   15.00    14  11569.00      0.00 2616184  191712   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:09 AM  1000    881293   30.00    3.00    0.00    0.00   33.00    14   8476.00      0.00 2617696  215864   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:10 AM  1000    881293   29.00    3.00    0.00    0.00   32.00     8   5217.00      0.00 2617696  222832   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:11 AM  1000    881293   26.00    4.00    0.00    0.00   30.00     6   3182.00      0.00 2617696  220216   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:12 AM  1000    881293   27.00    3.00    0.00    0.00   30.00    14   4029.00      0.00 2617968  225468   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:13 AM  1000    881293   29.00    3.00    0.00    0.00   32.00     0   4663.00      0.00 2617968  227096   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:14 AM  1000    881293   26.00    3.00    0.00    0.00   29.00     4   3611.00      0.00 2617968  223428   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:15 AM  1000    881293   27.00    3.00    0.00    0.00   30.00    10   2961.00      0.00 2617968  224668   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:16 AM  1000    881293   26.00    5.00    0.00    0.00   31.00    14   5429.00      0.00 2618604  228772   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:17 AM  1000    881293   28.00    3.00    0.00    0.00   31.00     2   5224.00      0.00 2618604  228148   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:18 AM  1000    881293   28.00    2.00    0.00    0.00   30.00    10   5457.00      0.00 2618796  229020   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:19 AM  1000    881293   28.00    3.00    0.00    0.00   31.00     2   4649.00      0.00 2618796  232660   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:20 AM  1000    881293   24.00    3.00    0.00    0.00   27.00     2   3796.00      0.00 2619112  231932   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:21 AM  1000    881293   28.00    4.00    0.00    0.00   32.00     6   3663.00      0.00 2619112  233764   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:22 AM  1000    881293   25.00    3.00    0.00    0.00   28.00    14   4422.00      0.00 2619112  231320   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:23 AM  1000    881293   31.00    5.00    0.00    0.00   36.00    12   6126.00      0.00 2619112  229172   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:01:24 AM  1000    881293   21.00    3.00    0.00    0.00   24.00     6   4986.00      0.00 2619112  225304   0.69  fastlio_mapping

