Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:28 AM  1000    888782    1.00    2.00    0.00    0.00    3.00     9     26.00      0.00 2546908  156288   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:29 AM  1000    888782   14.00    4.00    0.00    0.00   18.00     2  15859.00      0.00 2681900  212408   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:30 AM  1000    888782   33.00    4.00    0.00    0.00   37.00    10   9031.00      0.00 2682248  223380   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:31 AM  1000    888782   38.00    4.00    0.00    0.00   42.00    10   8902.00      0.00 2684092  234244   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:32 AM  1000    888782   33.00    4.00    0.00    0.00   37.00     0   4195.00      0.00 2682536  232216   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:33 AM  1000    888782   32.00    3.00    0.00    0.00   35.00    11   4986.00      0.00 2685244  238404   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:34 AM  1000    888782   29.00    3.00    0.00    0.00   32.00     2   3694.00      0.00 2685244  234936   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:35 AM  1000    888782   33.00    3.00    0.00    0.00   36.00     2   5814.00      0.00 2686176  241168   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:36 AM  1000    888782   33.00    3.00    0.00    0.00   36.00     2   3969.00      0.00 2687048  239844   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:37 AM  1000    888782   30.00    3.00    0.00    0.00   33.00     4   4947.00      0.00 2687996  241728   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:38 AM  1000    888782   36.00    2.00    0.00    0.00   38.00     4   4738.00      0.00 2687996  249388   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:39 AM  1000    888782   35.00    1.00    0.00    0.00   36.00    10   1555.00      0.00 2688296  252840   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:40 AM  1000    888782   31.00    2.00    0.00    0.00   33.00    12   1726.00      0.00 2688296  259944   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:41 AM  1000    888782   32.67    1.98    0.00    0.00   34.65     0   1528.71      0.00 2688772  263300   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:42 AM  1000    888782   28.00    2.00    0.00    0.00   30.00    14    945.00      0.00 2688772  261764   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:43 AM  1000    888782   35.00    2.00    0.00    0.00   37.00     0    711.00      0.00 2688784  262232   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:44 AM  1000    888782   33.00    3.00    0.00    0.00   36.00    14   1748.00      0.00 2688940  264176   0.81  fastlio_mapping

