Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:53 AM  1000    910053    9.00    3.00    0.00    0.00   12.00    11  10752.00      0.00 2682064  194520   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:54 AM  1000    910053   27.00    4.00    0.00    0.00   31.00    11  11142.00      0.00 2682980  230200   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:55 AM  1000    910053   30.00    3.00    0.00    0.00   33.00    11   3557.00      0.00 2683680  233952   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:56 AM  1000    910053   31.00    3.00    0.00    0.00   34.00    11   3410.00      0.00 2684948  243660   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:57 AM  1000    910053   34.00    3.00    0.00    0.00   37.00     0   2881.00      0.00 2683472  241704   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:58 AM  1000    910053   32.00    2.00    0.00    0.00   34.00    11   3263.00      0.00 2683472  246000   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:59 AM  1000    910053   30.00    2.00    0.00    0.00   32.00     0   2062.00      0.00 2683472  243976   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:00 AM  1000    910053   35.00    2.00    0.00    0.00   37.00    11   3309.00      0.00 2683824  243060   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:01 AM  1000    910053   30.00    3.00    0.00    0.00   33.00    11   2422.00      0.00 2684380  242644   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:02 AM  1000    910053   31.00    2.00    0.00    0.00   33.00    11   2885.00      0.00 2685452  247592   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:03 AM  1000    910053   31.00    1.00    0.00    0.00   32.00    11   2963.00      0.00 2687500  248168   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:04 AM  1000    910053   30.00    3.00    0.00    0.00   33.00    11   1188.00      0.00 2687636  250136   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:05 AM  1000    910053   34.00    1.00    0.00    0.00   35.00    11   1342.00      0.00 2687848  248760   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:06 AM  1000    910053   30.00    2.00    0.00    0.00   32.00    11   1415.00      0.00 2687848  246472   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:07 AM  1000    910053   34.00    3.00    0.00    0.00   37.00    11   3306.00      0.00 2688704  254520   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:08 AM  1000    910053   31.00    2.00    0.00    0.00   33.00    11   1510.00      0.00 2689568  261048   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:09 AM  1000    910053   30.00    2.00    0.00    0.00   32.00    11    848.00      0.00 2689568  262552   0.81  fastlio_mapping

