Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:42 PM  1000     51821    5.00    2.00    0.00    0.00    7.00     8   8659.00      0.00 2616128  187884   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:43 PM  1000     51821   18.00    3.00    0.00    0.00   21.00    10   8579.00      0.00 2617072  213536   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:44 PM  1000     51821   24.00    5.00    0.00    0.00   29.00     4   6371.00      0.00 2617084  222824   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:45 PM  1000     51821   22.00    2.00    0.00    0.00   24.00     6   4440.00      0.00 2618988  229716   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:46 PM  1000     51821   23.00    3.00    0.00    0.00   26.00     9   4043.00      0.00 2618792  238284   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:47 PM  1000     51821   23.00    2.00    0.00    0.00   25.00     6   2785.00      0.00 2618792  240248   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:48 PM  1000     51821   24.00    3.00    0.00    0.00   27.00    14   2207.00      0.00 2617880  243056   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:49 PM  1000     51821   26.00    2.00    0.00    0.00   28.00     4   3342.00      0.00 2617880  247428   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:50 PM  1000     51821   23.00    2.00    0.00    0.00   25.00     6   2451.00      0.00 2620048  246720   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:51 PM  1000     51821   24.00    1.00    0.00    0.00   25.00     2   2468.00      0.00 2620132  242836   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:52 PM  1000     51821   23.76    2.97    0.00    0.00   26.73     6   4279.21      0.00 2622320  255144   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:53 PM  1000     51821   22.00    2.00    0.00    0.00   24.00     6    347.00      0.00 2623244  249544   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:54 PM  1000     51821   27.00    2.00    0.00    0.00   29.00     6   2318.00      0.00 2623384  256980   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:55 PM  1000     51821   24.00    1.00    0.00    0.00   25.00    10    998.00      0.00 2623512  257948   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:56 PM  1000     51821   21.00    2.00    0.00    0.00   23.00    12    134.00      0.00 2623640  258524   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:57 PM  1000     51821   25.00    1.00    0.00    0.00   26.00    12   1279.00      0.00 2623772  261980   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:15:58 PM  1000     51821   26.00    2.00    0.00    0.00   28.00    14   1337.00      0.00 2625716  263280   0.81  fastlio_mapping

