Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:28 PM  1000     62342    9.00    4.00    0.00    0.00   13.00     0  11237.00      0.00 2617044  195756   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:29 PM  1000     62342   17.00    2.00    0.00    0.00   19.00    10   8840.00      0.00 2617056  222228   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:30 PM  1000     62342   24.00    3.00    0.00    0.00   27.00     0   5434.00      0.00 2620380  231928   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:31 PM  1000     62342   20.00    3.00    0.00    0.00   23.00    10   3060.00      0.00 2620380  239676   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:32 PM  1000     62342   21.00    3.00    0.00    0.00   24.00     2   1827.00      0.00 2620380  235596   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:33 PM  1000     62342   23.00    3.00    0.00    0.00   26.00     2   3797.00      0.00 2620380  236588   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:34 PM  1000     62342   23.00    2.00    0.00    0.00   25.00    14   3326.00      0.00 2620380  237968   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:35 PM  1000     62342   22.00    2.00    0.00    0.00   24.00     8   3638.00      0.00 2620380  239760   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:36 PM  1000     62342   24.00    1.00    0.00    0.00   25.00     2   1836.00      0.00 2620380  238276   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:37 PM  1000     62342   22.00    3.00    0.00    0.00   25.00     2   3203.00      0.00 2622372  243080   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:38 PM  1000     62342   23.00    2.00    0.00    0.00   25.00     2   3246.00      0.00 2622372  252224   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:39 PM  1000     62342   21.00    2.00    0.00    0.00   23.00     4   3013.00      0.00 2622372  252316   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:40 PM  1000     62342   20.00    2.00    0.00    0.00   22.00     6    727.00      0.00 2622372  255004   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:41 PM  1000     62342   23.00    2.00    0.00    0.00   25.00     6   1526.00      0.00 2622372  260764   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:42 PM  1000     62342   21.00    1.00    0.00    0.00   22.00     6    792.00      0.00 2623196  259760   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:43 PM  1000     62342   26.00    2.00    0.00    0.00   28.00     6    829.00      0.00 2623196  262832   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:29:44 PM  1000     62342   22.00    1.00    0.00    0.00   23.00     8   1258.00      0.00 2625008  263736   0.81  fastlio_mapping

