Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:09:44 PM  1000    127478    5.00    3.00    0.00    0.00    8.00     9   7693.00      0.00 2616232  183340   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:09:45 PM  1000    127478   15.00    3.00    0.00    0.00   18.00     9   6989.00      0.00 2617648  210236   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:09:46 PM  1000    127478   23.00    3.00    0.00    0.00   26.00     9   5377.00      0.00 2617660  223644   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:09:47 PM  1000    127478   19.00    4.00    0.00    0.00   23.00    10   2325.00      0.00 2617660  225220   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:09:48 PM  1000    127478   17.00    1.00    0.00    0.00   18.00     9   1694.00      0.00 2617660  221916   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:09:49 PM  1000    127478   22.00    3.00    0.00    0.00   25.00     9   1369.00      0.00 2617660  222136   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:09:50 PM  1000    127478   18.00    2.00    0.00    0.00   20.00     8   2204.00      0.00 2618016  223576   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:09:51 PM  1000    127478   20.00    3.00    0.00    0.00   23.00    12   2739.00      0.00 2618424  226912   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:09:52 PM  1000    127478   21.00    2.00    0.00    0.00   23.00    14   1928.00      0.00 2618424  227960   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:09:53 PM  1000    127478   21.00    2.00    0.00    0.00   23.00     0   2789.00      0.00 2618424  228048   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:09:54 PM  1000    127478   20.00    4.00    0.00    0.00   24.00     0   4714.00      0.00 2618424  225864   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:09:55 PM  1000    127478   19.00    4.00    0.00    0.00   23.00    12   2407.00      0.00 2618788  225380   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:09:56 PM  1000    127478   18.00    2.00    0.00    0.00   20.00    12   3261.00      0.00 2618788  232116   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:09:57 PM  1000    127478   22.00    4.00    0.00    0.00   26.00     6   2458.00      0.00 2618788  232724   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:09:58 PM  1000    127478   19.00    3.00    0.00    0.00   22.00    12   1270.00      0.00 2618788  234408   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:09:59 PM  1000    127478   19.00    1.00    0.00    0.00   20.00    12   1594.00      0.00 2618788  231284   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:10:00 PM  1000    127478   19.00    2.00    0.00    0.00   21.00     0    865.00      0.00 2618788  228320   0.70  fastlio_mapping

