Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:25 PM  1000    105430    6.00    2.00    0.00    0.00    8.00    10   3738.00      0.00 2614512  166336   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:26 PM  1000    105430   23.00    4.00    0.00    0.00   27.00     2  13990.00      0.00 2617876  213784   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:27 PM  1000    105430   24.00    4.00    0.00    0.00   28.00     2   6530.00      0.00 2617876  228272   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:28 PM  1000    105430   21.00    2.00    0.00    0.00   23.00     4   3396.00      0.00 2618696  234896   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:29 PM  1000    105430   21.00    3.00    0.00    0.00   24.00     6   2715.00      0.00 2618696  240860   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:30 PM  1000    105430   18.00    5.00    0.00    0.00   23.00     4   3594.00      0.00 2618696  238856   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:31 PM  1000    105430   22.00    2.00    0.00    0.00   24.00     4   3133.00      0.00 2618696  240084   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:32 PM  1000    105430   23.00    3.00    0.00    0.00   26.00     8   3009.00      0.00 2617840  241824   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:33 PM  1000    105430   22.00    3.00    0.00    0.00   25.00     4   2988.00      0.00 2618792  245332   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:34 PM  1000    105430   19.00    2.00    0.00    0.00   21.00     8   1807.00      0.00 2620820  245844   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:35 PM  1000    105430   20.00    2.00    0.00    0.00   22.00     8    863.00      0.00 2619660  245384   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:36 PM  1000    105430   20.00    2.00    0.00    0.00   22.00     4   1742.00      0.00 2621024  250304   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:37 PM  1000    105430   20.00    1.00    0.00    0.00   21.00     4    553.00      0.00 2621124  249788   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:38 PM  1000    105430   21.00    2.00    0.00    0.00   23.00    10    778.00      0.00 2621248  252860   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:39 PM  1000    105430   22.00    1.00    0.00    0.00   23.00     6    786.00      0.00 2621736  252196   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:40 PM  1000    105430   21.00    2.00    0.00    0.00   23.00    12   1080.00      0.00 2621852  250724   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:41 PM  1000    105430   19.00    2.00    0.00    0.00   21.00    12   1183.00      0.00 2621980  250464   0.77  fastlio_mapping

