Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:05:51 PM  1000     52146    5.00    3.00    0.00    0.00    8.00    11   4073.00      0.00 2614484  170408   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:05:52 PM  1000     52146   18.00    4.00    0.00    0.00   22.00     0  10201.00      0.00 2616308  203464   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:05:53 PM  1000     52146   22.00    3.00    0.00    0.00   25.00    14   4482.00      0.00 2616308  219032   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:05:54 PM  1000     52146   20.00    1.00    0.00    0.00   21.00    14   2223.00      0.00 2616336  219588   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:05:55 PM  1000     52146   20.00    2.00    0.00    0.00   22.00     2   3069.00      0.00 2617756  217808   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:05:56 PM  1000     52146   22.00    3.00    0.00    0.00   25.00     2   3013.00      0.00 2616372  221072   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:05:57 PM  1000     52146   18.00    2.00    0.00    0.00   20.00     6   2583.00      0.00 2617984  227864   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:05:58 PM  1000     52146   18.00    2.00    0.00    0.00   20.00    11   1949.00      0.00 2617984  231976   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:05:59 PM  1000     52146   21.00    2.00    0.00    0.00   23.00    11   1431.00      0.00 2616592  226832   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:00 PM  1000     52146   19.00    1.00    0.00    0.00   20.00     0   2092.00      0.00 2618340  227776   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:01 PM  1000     52146   19.00    2.00    0.00    0.00   21.00    11   1475.00      0.00 2618340  229968   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:02 PM  1000     52146   20.00    2.00    0.00    0.00   22.00    11   3451.00      0.00 2618356  229864   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:03 PM  1000     52146   20.00    2.00    0.00    0.00   22.00     2   1707.00      0.00 2618356  231644   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:04 PM  1000     52146   20.00    1.00    0.00    0.00   21.00     3   1162.00      0.00 2618804  233404   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:05 PM  1000     52146   20.00    2.00    0.00    0.00   22.00    11   1227.00      0.00 2618804  235824   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:06 PM  1000     52146   23.00    1.00    0.00    0.00   24.00    11    947.00      0.00 2618804  236096   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:07 PM  1000     52146   19.00    1.00    0.00    0.00   20.00     3    438.00      0.00 2618804  237824   0.73  fastlio_mapping

