Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:25 PM  1000     59728    4.00    3.00    0.00    0.00    7.00    10   3552.00      0.00 2614484  165308   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:26 PM  1000     59728   21.00    5.00    0.00    0.00   26.00     0  12054.00      0.00 2619040  206292   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:27 PM  1000     59728   21.00    2.00    0.00    0.00   23.00     4   5657.00      0.00 2619040  219128   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:28 PM  1000     59728   25.00    2.00    0.00    0.00   27.00    14   4748.00      0.00 2619068  228264   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:29 PM  1000     59728   23.00    3.00    0.00    0.00   26.00    14   5339.00      0.00 2619068  235164   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:30 PM  1000     59728   26.00    2.00    0.00    0.00   28.00     4   4126.00      0.00 2619316  234768   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:31 PM  1000     59728   25.00    2.00    0.00    0.00   27.00    10   2245.00      0.00 2619844  237548   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:32 PM  1000     59728   22.00    2.00    0.00    0.00   24.00     6   2854.00      0.00 2620040  236940   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:33 PM  1000     59728   26.00    2.00    0.00    0.00   28.00     0   3525.00      0.00 2620348  237916   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:34 PM  1000     59728   24.00    3.00    0.00    0.00   27.00     2   3621.00      0.00 2623300  235788   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:35 PM  1000     59728   21.00    2.00    0.00    0.00   23.00    12   4039.00      0.00 2623416  241900   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:36 PM  1000     59728   24.00    2.00    0.00    0.00   26.00     4   2092.00      0.00 2622572  246552   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:37 PM  1000     59728   21.00    2.00    0.00    0.00   23.00    12   1215.00      0.00 2622696  251352   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:38 PM  1000     59728   25.00    1.00    0.00    0.00   26.00    12    915.00      0.00 2622816  252804   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:39 PM  1000     59728   21.00    0.00    0.00    0.00   21.00    12   1259.00      0.00 2622932  253108   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:40 PM  1000     59728   24.00    1.00    0.00    0.00   25.00     8    124.00      0.00 2623044  253684   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:21:41 PM  1000     59728   21.00    2.00    0.00    0.00   23.00    12   1474.00      0.00 2623152  254800   0.78  fastlio_mapping

