Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:36 PM  1000     81379    4.00    2.00    0.00    0.00    6.00    12   3139.00      0.00 2614492  165696   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:37 PM  1000     81379   26.00    5.00    0.00    0.00   31.00     4  11356.00      0.00 2681196  211008   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:38 PM  1000     81379   25.00    3.00    0.00    0.00   28.00     2   4531.00      0.00 2683564  224376   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:39 PM  1000     81379   28.00    3.00    0.00    0.00   31.00     2   3450.00      0.00 2682172  231112   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:40 PM  1000     81379   25.00    3.00    0.00    0.00   28.00     8   3001.00      0.00 2684872  235864   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:41 PM  1000     81379   24.00    3.00    0.00    0.00   27.00    13   3149.00      0.00 2684312  236872   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:42 PM  1000     81379   22.00    2.00    0.00    0.00   24.00    13   3241.00      0.00 2684312  237424   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:43 PM  1000     81379   22.00    2.00    0.00    0.00   24.00    13   1647.00      0.00 2684500  241428   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:44 PM  1000     81379   20.00    2.00    0.00    0.00   22.00    13   1249.00      0.00 2684500  239040   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:45 PM  1000     81379   13.00    1.00    0.00    0.00   14.00    13   1838.00      0.00 2687332  234920   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:46 PM  1000     81379   23.00    3.00    0.00    0.00   26.00    13   1740.00      0.00 2686624  237152   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:47 PM  1000     81379   21.00    3.00    0.00    0.00   24.00    13   1808.00      0.00 2686624  241824   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:48 PM  1000     81379   23.00    3.00    0.00    0.00   26.00     6   1628.00      0.00 2686852  245576   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:49 PM  1000     81379   23.00    3.00    0.00    0.00   26.00     6    969.00      0.00 2686852  247156   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:50 PM  1000     81379   23.00    3.00    0.00    0.00   26.00     0   1449.00      0.00 2687476  249012   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:51 PM  1000     81379   20.00    1.00    0.00    0.00   21.00     0    975.00      0.00 2687476  252852   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:53:52 PM  1000     81379   21.00    2.00    0.00    0.00   23.00     2    711.00      0.00 2687476  252340   0.77  fastlio_mapping

