Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:42 PM  1000    102841    9.00    5.00    0.00    0.00   14.00    11  10172.00      0.00 2680984  193488   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:43 PM  1000    102841   26.00    4.00    0.00    0.00   30.00    11   9567.00      0.00 2681876  228656   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:44 PM  1000    102841   26.00    2.00    0.00    0.00   28.00    11   3159.00      0.00 2681876  232768   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:45 PM  1000    102841   28.00    2.00    0.00    0.00   30.00    14   3957.00      0.00 2681876  239312   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:46 PM  1000    102841   24.00    2.00    0.00    0.00   26.00    11   1984.00      0.00 2682380  236652   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:47 PM  1000    102841   25.00    2.00    0.00    0.00   27.00    11   2817.00      0.00 2683344  239868   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:48 PM  1000    102841   24.00    3.00    0.00    0.00   27.00     0   3179.00      0.00 2684192  242648   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:49 PM  1000    102841   26.00    3.00    0.00    0.00   29.00     2   1531.00      0.00 2684192  241100   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:50 PM  1000    102841   22.00    2.00    0.00    0.00   24.00     4   3294.00      0.00 2685400  243012   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:51 PM  1000    102841   19.00    3.00    0.00    0.00   22.00     6   2359.00      0.00 2685524  249136   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:52 PM  1000    102841   19.00    1.00    0.00    0.00   20.00     6    843.00      0.00 2685640  245160   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:53 PM  1000    102841   26.00    2.00    0.00    0.00   28.00     4   1132.00      0.00 2685760  249576   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:54 PM  1000    102841   23.00    3.00    0.00    0.00   26.00     0   1112.00      0.00 2685876  254184   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:55 PM  1000    102841   26.00    2.00    0.00    0.00   28.00     4    907.00      0.00 2685988  257448   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:56 PM  1000    102841   21.00    1.00    0.00    0.00   22.00     0    751.00      0.00 2686108  256112   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:57 PM  1000    102841   26.00    1.00    0.00    0.00   27.00     2   1068.00      0.00 2689584  260336   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:58 PM  1000    102841   27.00    2.00    0.00    0.00   29.00     8   1882.00      0.00 2690524  265984   0.82  fastlio_mapping

