Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:31 PM  1000     43898    8.00    4.00    0.00    0.00   12.00     8   9061.00      0.00 2617052  186712   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:32 PM  1000     43898   15.00    2.00    0.00    0.00   17.00     6   7638.00      0.00 2618456  212800   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:33 PM  1000     43898   23.00    2.00    0.00    0.00   25.00     6   6008.00      0.00 2618456  218484   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:34 PM  1000     43898   22.00    4.00    0.00    0.00   26.00    10   6008.00      0.00 2617052  226412   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:35 PM  1000     43898   27.00    3.00    0.00    0.00   30.00    14   4072.00      0.00 2617552  225892   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:36 PM  1000     43898   25.00    3.00    0.00    0.00   28.00     2   4189.00      0.00 2619380  232004   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:37 PM  1000     43898   20.00    2.00    0.00    0.00   22.00     2   2265.00      0.00 2619380  232296   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:38 PM  1000     43898   24.00    2.00    0.00    0.00   26.00     8   2740.00      0.00 2619428  232372   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:39 PM  1000     43898   22.00    3.00    0.00    0.00   25.00     6   4421.00      0.00 2619844  239588   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:40 PM  1000     43898   22.00    2.00    0.00    0.00   24.00     6   3090.00      0.00 2620092  245344   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:41 PM  1000     43898   24.00    2.00    0.00    0.00   26.00     6    778.00      0.00 2621968  248224   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:42 PM  1000     43898   23.00    1.00    0.00    0.00   24.00     4    591.00      0.00 2622088  246980   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:59:43 PM  1000     43898   26.00    3.00    0.00    0.00   29.00     4    900.00      0.00 2622196  250052   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
