Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:03 AM  1000    756474    1.00    1.00    0.00    0.00    2.00     0     24.00      0.00 2612432  156288   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:04 AM  1000    756474    2.00    2.00    0.00    0.00    4.00     2     44.00      0.00 2613024  156672   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:05 AM  1000    756474   21.00    6.00    0.00    0.00   27.00     2  17442.00      0.00 2617812  208088   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:06 AM  1000    756474   28.00    5.00    0.00    0.00   33.00     8   5650.00      0.00 2617840  222676   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:07 AM  1000    756474   29.00    2.00    0.00    0.00   31.00    12   3774.00      0.00 2617840  218072   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:08 AM  1000    756474   30.00    3.00    0.00    0.00   33.00     0   3984.00      0.00 2616260  223224   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:09 AM  1000    756474   30.00    3.00    0.00    0.00   33.00    12   2816.00      0.00 2616524  217968   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:10 AM  1000    756474   34.00    4.00    0.00    0.00   38.00     8   3993.00      0.00 2616524  220760   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:11 AM  1000    756474   26.00    2.00    0.00    0.00   28.00     0   3622.00      0.00 2616592  218580   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:12 AM  1000    756474   28.00    4.00    0.00    0.00   32.00     2   4946.00      0.00 2616620  219916   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:13 AM  1000    756474   28.00    3.00    0.00    0.00   31.00     0   4615.00      0.00 2616648  222948   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:14 AM  1000    756474   33.00    5.00    0.00    0.00   38.00     0   6150.00      0.00 2618308  225576   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:15 AM  1000    756474   28.00    4.00    0.00    0.00   32.00    14   5220.00      0.00 2618308  222840   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:16 AM  1000    756474   28.00    5.00    0.00    0.00   33.00    12   6989.00      0.00 2618308  231712   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:17 AM  1000    756474   28.00    5.00    0.00    0.00   33.00    10   4439.00      0.00 2617544  229636   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:18 AM  1000    756474   28.00    3.00    0.00    0.00   31.00    12   4960.00      0.00 2619172  232988   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:22:19 AM  1000    756474   28.00    5.00    0.00    0.00   33.00    10   4467.00      0.00 2619108  231456   0.71  fastlio_mapping

