Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:16:45 PM  1000     27281    7.00    3.00    0.00    0.00   10.00     4   7635.00      0.00 2615332  181920   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:16:46 PM  1000     27281   17.00    4.00    0.00    0.00   21.00    10   7203.00      0.00 2616264  203336   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:16:47 PM  1000     27281   21.00    4.00    0.00    0.00   25.00    10   4763.00      0.00 2619532  214008   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:16:48 PM  1000     27281   20.00    2.00    0.00    0.00   22.00    10   3311.00      0.00 2619532  220240   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:16:49 PM  1000     27281   20.00    2.00    0.00    0.00   22.00    12   2262.00      0.00 2619532  223852   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:16:50 PM  1000     27281   20.00    2.00    0.00    0.00   22.00    12   1921.00      0.00 2619532  220456   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:16:51 PM  1000     27281   21.00    2.00    0.00    0.00   23.00    12   1303.00      0.00 2619532  220924   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:16:52 PM  1000     27281   20.00    3.00    0.00    0.00   23.00     0   4035.00      0.00 2619532  224788   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:16:53 PM  1000     27281   21.00    2.00    0.00    0.00   23.00     8   1197.00      0.00 2619532  226160   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:16:54 PM  1000     27281   19.00    2.00    0.00    0.00   21.00     2   2549.00      0.00 2619532  227216   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:16:55 PM  1000     27281   24.00    2.00    0.00    0.00   26.00     2   3225.00      0.00 2619532  224000   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:16:56 PM  1000     27281   19.00    2.00    0.00    0.00   21.00     4   2071.00      0.00 2619532  225720   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:16:57 PM  1000     27281   19.00    2.00    0.00    0.00   21.00     4   1484.00      0.00 2619532  229684   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:16:58 PM  1000     27281   22.00    2.00    0.00    0.00   24.00     6    670.00      0.00 2619532  227112   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:16:59 PM  1000     27281   20.00    2.00    0.00    0.00   22.00     6   1568.00      0.00 2619532  229200   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:17:00 PM  1000     27281   17.00    3.00    0.00    0.00   20.00     2   1868.00      0.00 2619532  224344   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:17:01 PM  1000     27281   18.00    3.00    0.00    0.00   21.00     0   2762.00      0.00 2619532  231984   0.71  fastlio_mapping

