Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:11 PM  1000     10904    7.00    4.00    0.00    0.00   11.00    12   7517.00      3.00 2615480  180956   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:12 PM  1000     10904   18.00    4.00    0.00    0.00   22.00    12   8140.00      0.00 2616412  195044   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:13 PM  1000     10904   19.00    4.00    0.00    0.00   23.00    12   6399.00      0.00 2618060  208712   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:14 PM  1000     10904   20.00    2.00    0.00    0.00   22.00    10   2913.00      0.00 2616456  211204   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:15 PM  1000     10904   17.00    3.00    0.00    0.00   20.00     2   3640.00      0.00 2617960  216888   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:16 PM  1000     10904   22.00    2.00    0.00    0.00   24.00     2   2379.00      0.00 2617960  222176   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:17 PM  1000     10904   19.00    3.00    0.00    0.00   22.00     4   2530.00      0.00 2616456  221008   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:18 PM  1000     10904   20.00    3.00    0.00    0.00   23.00    11   2211.00      0.00 2616456  220900   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:19 PM  1000     10904   19.00    2.00    0.00    0.00   21.00    11   3384.00      0.00 2618440  222628   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:20 PM  1000     10904   19.00    2.00    0.00    0.00   21.00    11   1612.00      0.00 2616920  219660   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:21 PM  1000     10904   18.00    2.00    0.00    0.00   20.00    11   3918.00      0.00 2617724  216760   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:22 PM  1000     10904   20.00    2.00    0.00    0.00   22.00     4   2877.00      0.00 2619356  222704   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:23 PM  1000     10904   19.00    3.00    0.00    0.00   22.00    11   2446.00      0.00 2619356  227068   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:24 PM  1000     10904   18.00    3.00    0.00    0.00   21.00     4   2237.00      0.00 2619356  227720   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:25 PM  1000     10904   23.00    1.00    0.00    0.00   24.00    11   1819.00      0.00 2617740  223764   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:26 PM  1000     10904   20.00    3.00    0.00    0.00   23.00     6   2953.00      0.00 2617740  225460   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:27 PM  1000     10904   20.00    2.00    0.00    0.00   22.00     6   1815.00      0.00 2617740  223888   0.69  fastlio_mapping

