Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:18 AM  1000    770675    8.00    4.00    0.00    0.00   12.00    12  11077.00      0.00 2681856  193144   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:19 AM  1000    770675   27.00    3.00    0.00    0.00   30.00     2   9235.00      0.00 2685724  223472   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:20 AM  1000    770675   35.00    4.00    0.00    0.00   39.00    10   6414.00      0.00 2685724  232732   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:21 AM  1000    770675   35.00    3.00    0.00    0.00   38.00     2   5774.00      0.00 2685724  235488   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:22 AM  1000    770675   39.00    3.00    0.00    0.00   42.00     0   4521.00      0.00 2685724  233400   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:23 AM  1000    770675   34.00    3.00    0.00    0.00   37.00    12   4017.00      0.00 2686684  235292   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:24 AM  1000    770675   31.00    3.00    0.00    0.00   34.00    12   4123.00      0.00 2687076  238908   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:25 AM  1000    770675   34.00    3.00    0.00    0.00   37.00    10   3111.00      0.00 2687076  234152   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:26 AM  1000    770675   34.00    3.00    0.00    0.00   37.00     4   3280.00      0.00 2688236  240888   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:27 AM  1000    770675   35.00    4.00    0.00    0.00   39.00    10   5215.00      0.00 2689076  238488   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:28 AM  1000    770675   31.00    3.00    0.00    0.00   34.00     6   3623.00      0.00 2689076  243752   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:29 AM  1000    770675   33.00    2.00    0.00    0.00   35.00     2   4332.00      0.00 2689076  250168   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:30 AM  1000    770675   39.00    3.00    0.00    0.00   42.00     6   2415.00      0.00 2689076  243844   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:31 AM  1000    770675   39.00    2.00    0.00    0.00   41.00     0   5588.00      0.00 2689076  249424   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:32 AM  1000    770675   34.00    3.00    0.00    0.00   37.00     2   4850.00      0.00 2689076  260392   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:33 AM  1000    770675   36.00    2.00    0.00    0.00   38.00     2   1860.00      0.00 2689076  267688   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:33:34 AM  1000    770675   31.00    3.00    0.00    0.00   34.00     6    889.00      0.00 2690856  269460   0.83  fastlio_mapping

