Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:23:52 PM  1000     30892    6.00    2.00    0.00    0.00    8.00    11  10005.00      0.00 2615428  192800   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:23:53 PM  1000     30892   16.00    4.00    0.00    0.00   20.00    14   8774.00      0.00 2618180  217968   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:23:54 PM  1000     30892   18.00    3.00    0.00    0.00   21.00     6   4373.00      0.00 2618468  222748   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:23:55 PM  1000     30892   23.00    3.00    0.00    0.00   26.00     6   3704.00      0.00 2619112  228448   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:23:56 PM  1000     30892   21.00    2.00    0.00    0.00   23.00     8   3625.00      0.00 2619112  235852   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:23:57 PM  1000     30892   23.00    2.00    0.00    0.00   25.00     2   2311.00      0.00 2620276  237752   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:23:58 PM  1000     30892   19.00    2.00    0.00    0.00   21.00     3   4392.00      0.00 2621028  240740   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:23:59 PM  1000     30892   21.00    3.00    0.00    0.00   24.00     3   1415.00      0.00 2621160  236948   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:24:00 PM  1000     30892   26.00    2.00    0.00    0.00   28.00     3   2175.00      0.00 2621300  242984   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:24:01 PM  1000     30892   19.00    2.00    0.00    0.00   21.00     4   1710.00      0.00 2623292  247332   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:24:02 PM  1000     30892   21.00    3.00    0.00    0.00   24.00     6   2636.00      0.00 2623292  253480   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:24:03 PM  1000     30892   23.00    1.00    0.00    0.00   24.00     7    852.00      0.00 2623292  253500   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:24:04 PM  1000     30892   24.00    1.00    0.00    0.00   25.00     7    772.00      0.00 2623292  256572   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:24:05 PM  1000     30892   21.00    3.00    0.00    0.00   24.00     7    466.00      0.00 2623292  258300   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:24:06 PM  1000     30892   17.00    1.00    0.00    0.00   18.00     7    800.00      0.00 2623292  259856   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:24:07 PM  1000     30892   17.00    2.00    0.00    0.00   19.00     7   1225.00      0.00 2621720  259216   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:24:08 PM  1000     30892   19.00    2.00    0.00    0.00   21.00     7   1118.00      0.00 2623656  259712   0.80  fastlio_mapping

