Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:56:57 PM  1000     17559    9.00    5.00    0.00    0.00   14.00     6  11343.00      0.00 2631732  197552   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:56:58 PM  1000     17559   27.00    4.00    0.00    0.00   31.00    12   7488.00      0.00 2631744  209792   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:56:59 PM  1000     17559   25.00    1.00    0.00    0.00   26.00    12   5873.00      0.00 2631756  223704   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:57:00 PM  1000     17559   24.00    2.00    0.00    0.00   26.00    14   4140.00      0.00 2631756  230936   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:57:01 PM  1000     17559   23.00    2.00    0.00    0.00   25.00    14   3424.00      0.00 2631756  237772   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:57:02 PM  1000     17559   22.00    2.00    0.00    0.00   24.00     0   2942.00      0.00 2632528  242260   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:57:03 PM  1000     17559   21.00    3.00    0.00    0.00   24.00     2   1689.00      0.00 2632528  242880   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:57:04 PM  1000     17559   24.00    2.00    0.00    0.00   26.00    14   2213.00      0.00 2632528  246956   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:57:05 PM  1000     17559   27.00    1.00    0.00    0.00   28.00     2   1900.00      0.00 2634672  250260   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:57:06 PM  1000     17559   21.00    2.00    0.00    0.00   23.00    14   1532.00      0.00 2634716  249040   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:57:07 PM  1000     17559   22.00    2.00    0.00    0.00   24.00     0   4493.00      0.00 2637088  255816   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:57:08 PM  1000     17559   24.00    1.00    0.00    0.00   25.00    12    998.00      0.00 2637088  254872   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:57:09 PM  1000     17559   23.00    2.00    0.00    0.00   25.00    14   1042.00      0.00 2637088  258904   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:57:10 PM  1000     17559   27.00    1.00    0.00    0.00   28.00     2    495.00      0.00 2637088  260632   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:57:11 PM  1000     17559   21.00    2.00    0.00    0.00   23.00     4    940.00      0.00 2637088  262520   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:57:12 PM  1000     17559   24.00    2.00    0.00    0.00   26.00     4   1521.00      0.00 2638884  264860   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:57:13 PM  1000     17559   24.00    2.00    0.00    0.00   26.00     4    748.00      0.00 2638884  265928   0.82  fastlio_mapping

