t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772194435.001598,0,nan,nan,0,0,0
1772194435.100621,0,nan,nan,0,0,0
1772194435.201409,0,nan,nan,0,0,0
1772194435.301632,0,nan,nan,0,0,0
1772194435.401993,0,nan,nan,0,0,1
1772194435.500421,0,nan,nan,0,0,1
1772194435.601421,0,nan,nan,0,0,1
1772194435.701421,0,nan,nan,0,0,1
1772194435.801412,0,nan,nan,0,0,1
1772194435.900580,0,nan,nan,0,1,1
1772194436.000468,1233,307.048617,0.249026,0,1,1
1772194436.101453,1248,318.644033,0.255324,0,1,1
1772194436.201416,1282,321.091051,0.250461,0,1,0
1772194436.300675,1262,318.480623,0.252362,0,0,0
1772194436.401539,1239,308.878656,0.249297,0,0,0
1772194436.501472,1236,316.700533,0.256230,0,0,0
1772194436.600614,1226,309.739512,0.252642,0,0,0
1772194436.700705,1236,322.221886,0.260697,0,0,0
1772194436.800579,1220,305.004263,0.250003,0,0,0
1772194436.901405,1205,287.715169,0.238768,0,0,0
1772194437.000414,1205,293.911858,0.243910,0,0,0
1772194437.101398,1234,290.477355,0.235395,0,0,0
1772194437.201403,1210,312.108345,0.257941,0,0,0
1772194437.301542,1222,299.136039,0.244792,0,0,0
1772194437.400417,1216,302.912226,0.249105,0,0,0
1772194437.501377,1234,296.084201,0.239939,0,0,0
1772194437.599982,1238,297.257255,0.240111,0,0,0
1772194437.700574,1236,282.193484,0.228312,0,0,0
1772194437.801426,1213,270.542296,0.223036,0,0,0
1772194437.900377,1207,264.250947,0.218932,0,0,0
1772194438.000332,1215,262.940663,0.216412,0,0,0
1772194438.100331,1220,267.835834,0.219538,0,0,0
1772194438.201370,1193,265.084454,0.222200,0,0,0
1772194438.301605,1221,275.068362,0.225281,0,0,0
1772194438.400117,1211,265.863760,0.219541,0,0,0
1772194438.501351,1165,244.443315,0.209823,0,0,0
1772194438.600564,1168,239.224931,0.204816,0,0,0
1772194438.700420,1127,227.962353,0.202274,0,0,0
1772194438.800557,1143,239.382085,0.209433,0,0,0
1772194438.901428,1086,218.381893,0.201088,0,0,0
1772194439.001510,1106,226.914495,0.205167,0,0,0
1772194439.100726,1084,224.593228,0.207189,0,0,0
1772194439.201449,1085,220.380146,0.203115,0,0,0
1772194439.301558,1073,231.635747,0.215877,0,0,0
1772194439.400591,1082,219.819815,0.203161,0,0,0
1772194439.500484,1085,224.422730,0.206841,0,0,0
1772194439.601340,1082,230.919733,0.213419,0,0,0
1772194439.700625,1106,233.565788,0.211181,0,0,0
1772194439.800383,1094,246.479891,0.225302,0,0,0
1772194439.901351,1088,234.035457,0.215106,0,0,0
1772194440.000203,1068,231.252007,0.216528,0,0,0
1772194440.101432,1082,219.061457,0.202460,0,0,0
1772194440.200113,1084,226.282691,0.208748,0,0,0
1772194440.301543,1055,211.430084,0.200408,0,0,0
1772194440.400625,1097,232.861556,0.212271,0,0,0
1772194440.501431,1053,217.268137,0.206333,0,0,0
1772194440.600431,1098,237.523454,0.216324,0,0,0
1772194440.702132,1087,233.409037,0.214728,0,0,0
1772194440.800721,1112,232.613406,0.209185,0,0,0
1772194440.901442,1067,233.436806,0.218779,0,0,0
1772194441.000448,1114,233.776237,0.209853,0,0,0
1772194441.100121,1092,236.710611,0.216768,0,0,0
1772194441.201591,1094,230.914739,0.211074,0,0,0
1772194441.301673,1092,232.495967,0.212908,0,0,0
1772194441.400702,1090,225.326201,0.206721,0,0,0
1772194441.500456,1147,247.914890,0.216142,0,0,0
1772194441.601404,1147,239.911009,0.209164,0,0,0
1772194441.701626,1184,263.340737,0.222416,0,0,0
1772194441.800910,1230,257.820494,0.209610,0,0,0
1772194441.900733,1234,257.002043,0.208267,0,0,0
1772194442.000484,1194,268.712258,0.225052,0,0,0
1772194442.100510,1246,279.150215,0.224037,0,0,0
1772194442.201324,1227,284.579717,0.231931,0,0,0
1772194442.301642,1234,292.104230,0.236713,0,0,0
1772194442.401425,1197,306.502113,0.256059,0,0,0
1772194442.500391,1257,306.333026,0.243702,0,0,0
1772194442.601362,1232,313.293917,0.254297,0,0,0
1772194442.700598,1244,306.256137,0.246187,0,0,0
1772194442.801475,1241,312.958779,0.252183,0,0,0
1772194442.900473,1205,297.359934,0.246772,0,0,0
1772194443.000534,1194,291.784950,0.244376,0,0,0
1772194443.101391,1169,296.365214,0.253520,0,0,0
1772194443.201457,1224,300.599296,0.245588,0,0,0
1772194443.301695,1238,322.302256,0.260341,0,0,0
1772194443.401383,1256,324.646323,0.258476,0,0,0
1772194443.501393,1233,315.816852,0.256137,0,0,0
1772194443.601537,1225,295.590609,0.241298,0,0,0
1772194443.701501,1221,302.843930,0.248029,0,0,0
1772194443.801324,1263,300.933251,0.238269,0,0,0
1772194443.901294,1278,308.477142,0.241375,0,0,0
1772194444.001474,1235,302.308602,0.244784,0,0,0
1772194444.101376,1243,305.011664,0.245383,0,0,0
1772194444.201411,1272,307.343131,0.241622,0,0,0
1772194444.301481,1288,320.746906,0.249027,0,0,0
1772194444.400575,1269,310.208166,0.244451,0,0,0
1772194444.501362,1259,315.938857,0.250944,0,0,0
1772194444.600503,1261,313.941854,0.248963,0,0,0
1772194444.700332,1261,316.438575,0.250943,0,0,0
1772194444.800547,1250,313.321473,0.250657,0,0,0
1772194444.900523,1268,309.297075,0.243925,0,0,0
1772194445.001291,1274,323.838308,0.254190,0,0,0
1772194445.101396,1266,303.529868,0.239755,0,0,0
1772194445.201300,1249,310.845385,0.248875,0,0,0
1772194445.300502,1220,298.320344,0.244525,0,0,0
1772194445.401336,1229,302.823672,0.246398,0,0,0
1772194445.501307,1264,303.836923,0.240377,0,0,0
1772194445.601304,1227,303.162424,0.247076,0,0,0
1772194445.701329,1238,319.193481,0.257830,0,0,0
1772194445.801298,1300,321.471045,0.247285,0,0,0
1772194445.900691,1232,320.427092,0.260087,0,0,0
1772194446.000553,1299,324.308768,0.249660,0,0,0
1772194446.100476,1255,329.057456,0.262197,0,0,0
1772194446.200531,1291,319.726312,0.247658,0,0,0
1772194446.301771,1270,325.085861,0.255973,0,0,0
1772194446.401694,1296,317.762502,0.245187,0,0,0
1772194446.501389,1235,303.473874,0.245728,0,0,0
1772194446.600622,1267,311.463668,0.245828,0,0,0
1772194446.700280,1251,310.083988,0.247869,0,0,0
1772194446.801568,1261,315.587648,0.250268,0,0,0
1772194446.900476,1271,309.349700,0.243391,0,0,0
1772194447.001499,1216,303.172455,0.249319,0,0,0
1772194447.101339,1266,313.049504,0.247274,0,0,0
1772194447.201425,1233,316.491659,0.256684,0,0,0
1772194447.301371,1296,310.769733,0.239791,0,0,0
1772194447.401498,1308,327.691491,0.250529,0,0,0
1772194447.501427,1321,318.331812,0.240978,0,0,0
1772194447.601295,1278,320.956374,0.251140,0,0,0
1772194447.700341,1318,317.823520,0.241141,0,0,0
1772194447.800473,1272,311.907240,0.245210,0,0,0
1772194447.901448,1254,312.038512,0.248835,0,0,0
1772194448.001324,1257,306.752159,0.244035,0,0,0
1772194448.101474,1249,301.872803,0.241692,0,0,0
1772194448.201285,1286,333.781155,0.259550,0,0,0
1772194448.301290,1295,321.899150,0.248571,0,0,0
1772194448.401355,1317,329.282679,0.250025,0,0,0
1772194448.500463,1297,328.288550,0.253114,0,0,0
1772194448.600550,1296,323.949573,0.249961,0,0,0
1772194448.701333,1297,326.324328,0.251599,0,0,0
1772194448.801513,1308,314.190543,0.240207,0,0,0
1772194448.901372,1312,319.796452,0.243747,0,0,0
1772194449.001404,1272,310.909445,0.244426,0,0,0
1772194449.101484,1255,304.679418,0.242772,0,0,0
1772194449.201271,1300,324.257198,0.249429,0,0,0
1772194449.301389,1259,323.794200,0.257184,0,0,0
1772194449.401529,1278,322.391351,0.252262,0,0,0
1772194449.501261,1283,324.873543,0.253214,0,0,0
1772194449.601248,1231,311.347768,0.252923,0,0,0
1772194449.700288,1279,323.887404,0.253235,0,0,0
1772194449.800453,1238,311.683870,0.251764,0,0,0
1772194449.901268,1253,306.566707,0.244666,0,0,0
1772194450.000629,1275,319.442636,0.250543,0,0,0
1772194450.100627,1306,315.968484,0.241936,0,0,0
1772194450.200618,1266,311.188366,0.245804,0,0,0
1772194450.301315,1261,297.916532,0.236254,0,0,0
1772194450.401431,1273,318.391810,0.250111,0,0,0
1772194450.500532,1257,304.696437,0.242400,0,0,0
1772194450.601357,1254,297.243527,0.237036,0,0,0
1772194450.700630,1244,305.424652,0.245518,0,0,0
1772194450.800594,1291,311.570505,0.241340,0,0,0
1772194450.901468,1250,320.691092,0.256553,0,0,0
1772194451.001457,1318,315.138690,0.239104,0,0,0
1772194451.101269,1283,330.347432,0.257480,0,0,0
1772194451.201291,1306,334.022191,0.255760,0,0,0
1772194451.301515,1286,321.186025,0.249756,0,0,0
1772194451.401475,1291,327.615566,0.253769,0,0,0
1772194451.501313,1292,318.183327,0.246272,0,0,0
1772194451.600668,1295,310.831831,0.240025,0,0,0
1772194451.700595,1283,323.132210,0.251857,0,0,0
1772194451.801485,1319,323.499653,0.245261,0,0,0
1772194451.901265,1273,317.792793,0.249641,0,0,0
1772194452.001365,1240,313.083615,0.252487,0,0,0
1772194452.100564,1299,324.510528,0.249816,0,0,0
1772194452.201479,1255,326.574202,0.260218,0,0,0
1772194452.301422,1292,324.671820,0.251294,0,0,0
1772194452.401317,1321,340.635177,0.257862,0,0,0
1772194452.501376,1326,332.816997,0.250993,0,0,0
1772194452.600427,1315,336.602267,0.255971,0,0,0
1772194452.701430,1322,321.613735,0.243278,0,0,0
1772194452.801322,1304,319.152232,0.244749,0,0,0
1772194452.901244,1293,319.993166,0.247481,0,0,0
1772194453.000499,1303,310.643234,0.238406,0,0,0
1772194453.101226,1299,318.600588,0.245266,0,0,0
1772194453.201231,1297,324.833071,0.250450,0,0,0
1772194453.301222,1389,345.884761,0.249017,0,0,0
1772194453.400511,1360,331.119417,0.243470,0,0,0
1772194453.501249,1375,353.217598,0.256886,0,0,0
1772194453.601465,1352,323.272122,0.239107,0,0,0
1772194453.701285,1382,345.688299,0.250136,0,0,0
1772194453.801455,1334,340.066256,0.254922,0,0,0
