t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772199579.560885,0,nan,nan,0,0,0
1772199579.662125,0,nan,nan,0,0,0
1772199579.760887,0,nan,nan,0,0,0
1772199579.861519,0,nan,nan,0,0,0
1772199579.961173,0,nan,nan,0,0,1
1772199580.061487,0,nan,nan,0,0,1
1772199580.162035,0,nan,nan,0,0,1
1772199580.262060,0,nan,nan,0,0,1
1772199580.361127,0,nan,nan,0,0,1
1772199580.460885,0,nan,nan,0,1,1
1772199580.562040,129,7.328230,0.056808,1,1,1
1772199580.662060,123,5.755769,0.046795,1,1,1
1772199580.762242,129,5.265989,0.040822,1,1,1
1772199580.861081,169,18.208352,0.107742,0,1,1
1772199580.961050,164,20.816739,0.126931,0,1,1
1772199581.062001,179,20.729606,0.115808,0,1,1
1772199581.161989,182,32.096400,0.176354,0,1,1
1772199581.261083,154,16.864805,0.109512,0,1,1
1772199581.362218,156,22.919991,0.146923,0,1,1
1772199581.462097,149,34.741814,0.233167,0,0,1
1772199581.561083,153,32.051042,0.209484,0,0,0
1772199581.662244,151,36.793339,0.243664,0,0,0
1772199581.762028,150,33.022068,0.220147,0,0,0
1772199581.862096,166,34.237871,0.206252,0,0,0
1772199581.962355,162,33.657540,0.207763,0,0,0
1772199582.062145,168,36.158757,0.215231,0,0,0
1772199582.161975,150,30.926848,0.206179,0,0,0
1772199582.262197,166,32.742873,0.197246,0,0,0
1772199582.362057,165,37.419586,0.226785,0,0,0
1772199582.462244,172,35.422329,0.205944,0,0,0
1772199582.562075,169,33.893750,0.200555,0,0,0
1772199582.662019,185,38.866178,0.210087,0,0,0
1772199582.761971,185,39.837935,0.215340,0,0,0
1772199582.860866,180,39.235687,0.217976,0,0,0
1772199582.962206,181,41.926480,0.231638,0,0,0
1772199583.061074,179,46.343387,0.258902,0,0,0
1772199583.162133,163,33.748270,0.207045,0,0,0
1772199583.262027,155,28.822782,0.185953,0,0,0
1772199583.361989,149,24.160846,0.162153,0,0,0
1772199583.462049,143,22.189048,0.155168,0,0,0
1772199583.562032,139,20.294854,0.146006,0,0,0
1772199583.661132,119,12.942789,0.108763,1,0,0
1772199583.762193,137,17.779709,0.129779,0,0,1
1772199583.862036,107,14.859189,0.138871,1,0,1
1772199583.962395,115,13.997135,0.121714,1,0,1
1772199584.062092,116,12.233792,0.105464,1,0,1
1772199584.162052,106,14.615242,0.137880,1,0,1
1772199584.262434,115,15.355596,0.133527,0,0,1
1772199584.362075,114,13.101792,0.114928,1,0,1
1772199584.462015,109,12.492437,0.114610,1,0,1
1772199584.562083,116,16.232005,0.139931,0,0,1
1772199584.662063,101,11.041840,0.109325,1,0,1
1772199584.762048,108,16.161389,0.149642,0,0,1
1772199584.861995,96,11.471854,0.119498,1,0,1
1772199584.961092,106,15.774187,0.148813,0,0,1
1772199585.060791,96,13.882136,0.144606,1,0,1
1772199585.161988,106,14.665888,0.138357,1,0,1
1772199585.262143,103,14.417818,0.139979,1,0,1
1772199585.362194,113,15.469601,0.136899,0,0,1
1772199585.462165,108,14.637998,0.135537,1,0,1
1772199585.562162,101,12.160244,0.120398,1,0,1
1772199585.662150,107,15.609794,0.145886,0,0,1
1772199585.760957,100,14.457558,0.144576,1,0,1
1772199585.861210,101,13.989380,0.138509,1,0,1
1772199585.961966,92,14.471228,0.157296,1,0,1
1772199586.062047,104,17.857790,0.171710,0,0,1
1772199586.162165,97,12.736569,0.131305,1,0,1
1772199586.262108,122,16.436506,0.134725,0,0,1
1772199586.362042,132,14.506476,0.109898,1,0,1
1772199586.462167,172,38.114399,0.221595,0,0,1
1772199586.563012,214,46.633566,0.217914,0,0,1
1772199586.662816,228,55.483920,0.243351,0,0,0
1772199586.762062,225,48.380064,0.215023,0,0,0
1772199586.861988,232,53.109175,0.228919,0,0,0
1772199586.961182,220,44.041834,0.200190,0,0,0
1772199587.062050,219,50.404915,0.230159,0,0,0
1772199587.162028,208,35.853054,0.172370,0,0,0
1772199587.261024,180,26.761903,0.148677,0,0,0
1772199587.362059,144,11.324441,0.078642,1,0,0
1772199587.461964,97,6.404716,0.066028,1,0,1
1772199587.562105,84,4.493081,0.053489,1,0,1
1772199587.663030,68,3.714338,0.054623,1,0,1
1772199587.762546,70,3.074419,0.043920,1,0,1
1772199587.865273,73,3.008055,0.041206,1,0,1
1772199587.962028,85,4.218160,0.049625,1,1,1
1772199588.061993,80,3.461292,0.043266,1,1,1
1772199588.162319,72,2.221538,0.030855,1,1,1
1772199588.262041,79,2.142084,0.027115,1,1,1
1772199588.361938,70,2.495305,0.035647,1,1,1
1772199588.462172,74,2.554408,0.034519,1,1,1
1772199588.562034,75,2.594405,0.034592,1,1,1
1772199588.662070,77,2.572457,0.033409,1,1,1
1772199588.762071,75,2.582883,0.034438,1,1,1
1772199588.862056,76,2.176716,0.028641,1,1,1
1772199588.961931,74,2.524337,0.034113,1,1,1
1772199589.062151,69,2.483783,0.035997,1,1,1
1772199589.162029,74,2.521906,0.034080,1,1,1
1772199589.262060,75,2.555523,0.034074,1,1,1
1772199589.362099,78,3.396410,0.043544,1,1,1
1772199589.462161,80,2.215025,0.027688,1,1,1
1772199589.562286,79,2.686707,0.034009,1,1,1
1772199589.661116,80,3.397372,0.042467,1,1,1
1772199589.762138,83,3.481707,0.041948,1,1,1
1772199589.862133,81,3.696955,0.045641,1,1,1
1772199589.961138,89,3.658503,0.041107,1,1,1
1772199590.061552,89,2.747259,0.030868,1,1,1
1772199590.162236,95,3.068942,0.032305,1,1,1
1772199590.261559,119,3.636050,0.030555,1,1,1
1772199590.361990,131,3.543596,0.027050,1,1,1
1772199590.462360,139,8.624623,0.062048,1,1,1
1772199590.561047,141,11.458331,0.081265,1,1,1
1772199590.662095,149,16.105336,0.108090,0,1,1
1772199590.761992,150,15.809339,0.105396,0,1,1
1772199590.860971,153,13.462802,0.087992,1,1,1
1772199590.962002,148,15.655443,0.105780,0,1,1
1772199591.061982,155,16.147570,0.104178,0,1,1
1772199591.162253,158,17.718136,0.112140,0,1,1
1772199591.261948,154,13.620318,0.088444,1,1,1
1772199591.361907,160,16.123471,0.100772,0,1,1
1772199591.462162,158,18.642158,0.117988,0,1,1
1772199591.561980,152,15.802138,0.103961,0,1,1
1772199591.661916,161,16.078638,0.099867,0,1,1
1772199591.762084,143,10.783406,0.075408,1,1,1
1772199591.862071,151,11.524846,0.076323,1,1,1
1772199591.961979,137,3.071537,0.022420,1,1,1
1772199592.062704,107,4.210947,0.039355,1,1,1
1772199592.161999,92,3.120190,0.033915,1,1,1
1772199592.262062,88,2.191446,0.024903,1,1,1
1772199592.362437,83,2.420380,0.029161,1,1,1
1772199592.461975,83,3.230435,0.038921,1,1,1
1772199592.562461,89,2.147816,0.024133,1,1,1
1772199592.662033,89,3.439854,0.038650,1,1,1
1772199592.762003,86,2.406494,0.027982,1,1,1
1772199592.862808,85,2.590662,0.030478,1,1,1
1772199592.962918,88,3.033255,0.034469,1,1,1
1772199593.061967,87,3.578435,0.041131,1,1,1
1772199593.161903,92,3.127818,0.033998,1,1,1
1772199593.262822,84,3.004716,0.035770,1,1,1
1772199593.361971,87,3.768224,0.043313,1,1,1
1772199593.461985,84,3.563872,0.042427,1,1,1
1772199593.562055,80,1.966501,0.024581,1,1,1
1772199593.662935,81,2.848107,0.035162,1,1,1
1772199593.761893,80,2.747387,0.034342,1,1,1
1772199593.862138,85,3.811805,0.044845,1,1,1
1772199593.961980,80,3.209778,0.040122,1,1,1
1772199594.060990,87,3.266297,0.037544,1,1,1
1772199594.162017,85,2.835756,0.033362,1,1,1
1772199594.262008,85,2.808936,0.033046,1,1,1
1772199594.362034,85,2.828783,0.033280,1,1,1
