t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772199579.662125,0,nan,nan,0,0,0
1772199579.760887,0,nan,nan,0,0,0
1772199579.861519,0,nan,nan,0,0,0
1772199579.961173,0,nan,nan,0,0,0
1772199580.061487,0,nan,nan,0,0,1
1772199580.162035,0,nan,nan,0,0,1
1772199580.262060,0,nan,nan,0,0,1
1772199580.361127,0,nan,nan,0,0,1
1772199580.460885,0,nan,nan,0,0,1
1772199580.562040,0,nan,nan,0,1,1
1772199580.662060,493,48.020778,0.097405,0,1,1
1772199580.762242,541,46.926927,0.086741,0,1,1
1772199580.861081,574,86.126015,0.150045,0,1,1
1772199580.961050,576,77.146708,0.133935,0,1,1
1772199581.062001,573,70.073007,0.122291,0,1,1
1772199581.161989,556,97.668947,0.175664,0,0,1
1772199581.261083,478,61.431584,0.128518,0,0,1
1772199581.362218,448,67.282587,0.150184,0,0,1
1772199581.462097,390,79.330030,0.203410,0,0,0
1772199581.561083,391,73.432539,0.187807,0,0,0
1772199581.662244,400,81.819510,0.204549,0,0,0
1772199581.762028,406,78.102629,0.192371,0,0,0
1772199581.862096,422,81.440417,0.192987,0,0,0
1772199581.962355,430,79.621378,0.185166,0,0,0
1772199582.062145,425,77.960988,0.183438,0,0,0
1772199582.161975,425,79.834292,0.187845,0,0,0
1772199582.262197,418,73.001167,0.174644,0,0,0
1772199582.362057,423,80.644423,0.190649,0,0,0
1772199582.462244,451,91.111657,0.202021,0,0,0
1772199582.562075,444,77.469938,0.174482,0,0,0
1772199582.662019,452,88.467177,0.195724,0,0,0
1772199582.761971,458,85.984101,0.187738,0,0,0
1772199582.860866,435,82.786813,0.190315,0,0,0
1772199582.962206,431,83.479590,0.193688,0,0,0
1772199583.061074,420,84.527166,0.201255,0,0,0
1772199583.162133,403,72.791130,0.180623,0,0,0
1772199583.262027,380,70.820064,0.186369,0,0,0
1772199583.361989,385,66.026832,0.171498,0,0,0
1772199583.462049,373,64.030331,0.171663,0,0,0
1772199583.562032,361,58.786018,0.162842,0,0,0
1772199583.661132,330,45.430551,0.137668,0,0,0
1772199583.762193,342,51.068473,0.149323,0,0,0
1772199583.862036,329,52.454838,0.159437,0,0,0
1772199583.962395,328,55.536382,0.169318,0,0,0
1772199584.062092,318,45.919880,0.144402,0,0,1
1772199584.162052,304,56.123549,0.184617,0,0,0
1772199584.262434,319,50.950607,0.159720,0,0,0
1772199584.362075,329,51.605961,0.156857,0,0,0
1772199584.462015,344,52.685903,0.153157,0,0,0
1772199584.562083,346,56.761854,0.164052,0,0,0
1772199584.662063,318,54.750325,0.172171,0,0,0
1772199584.762048,318,53.258256,0.167479,0,0,0
1772199584.861995,305,53.904565,0.176736,0,0,0
1772199584.961092,325,61.558880,0.189412,0,0,0
1772199585.060791,300,51.781273,0.172604,0,0,0
1772199585.161988,314,52.469212,0.167099,0,0,0
1772199585.262143,302,51.679746,0.171125,0,0,0
1772199585.362194,326,58.251252,0.178685,0,0,0
1772199585.462165,300,49.826309,0.166088,0,0,0
1772199585.562162,301,51.445084,0.170914,0,0,0
1772199585.662150,310,59.099131,0.190642,0,0,0
1772199585.760957,323,53.365305,0.165218,0,0,0
1772199585.861210,319,62.424171,0.195687,0,0,0
1772199585.961966,301,53.705734,0.178424,0,0,0
1772199586.062047,307,55.223535,0.179881,0,0,0
1772199586.162165,301,54.477998,0.180990,0,0,0
1772199586.262108,336,59.665730,0.177577,0,0,0
1772199586.362042,360,52.740099,0.146500,0,0,0
1772199586.462167,431,85.322359,0.197964,0,0,0
1772199586.563012,539,94.478808,0.175285,0,0,0
