t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772204208.634054,0,nan,nan,0,0,0
1772204208.734157,0,nan,nan,0,0,0
1772204208.834114,0,nan,nan,0,0,0
1772204208.933954,0,nan,nan,0,0,0
1772204209.034446,0,nan,nan,0,0,1
1772204209.134125,0,nan,nan,0,0,1
1772204209.233037,0,nan,nan,0,0,1
1772204209.334231,0,nan,nan,0,0,1
1772204209.434314,0,nan,nan,0,0,1
1772204209.534292,0,nan,nan,0,1,1
1772204209.634116,441,87.312083,0.197987,0,1,1
1772204209.734159,437,83.330566,0.190688,0,1,1
1772204209.834257,433,75.271611,0.173837,0,1,0
1772204209.934125,441,87.613429,0.198670,0,0,0
1772204210.034253,446,86.316095,0.193534,0,0,0
1772204210.134069,442,85.592373,0.193648,0,0,0
1772204210.234338,433,84.810653,0.195868,0,0,0
1772204210.334064,445,85.892230,0.193016,0,0,0
1772204210.433960,462,87.303905,0.188969,0,0,0
1772204210.534312,455,88.155757,0.193749,0,0,0
1772204210.634161,454,90.961842,0.200356,0,0,0
1772204210.733998,459,84.279805,0.183616,0,0,0
1772204210.834139,443,78.577652,0.177376,0,0,0
1772204210.934158,458,84.997664,0.185584,0,0,0
1772204211.034125,461,85.711403,0.185925,0,0,0
1772204211.134319,467,87.283684,0.186903,0,0,0
1772204211.234335,450,91.505070,0.203345,0,0,0
1772204211.333972,445,80.195861,0.180215,0,0,0
1772204211.434044,455,85.891327,0.188772,0,0,0
1772204211.534106,479,88.611753,0.184993,0,0,0
1772204211.633969,460,82.710803,0.179806,0,0,0
1772204211.735215,473,94.671701,0.200152,0,0,0
1772204211.834080,487,97.052724,0.199287,0,0,0
1772204211.933905,497,99.998011,0.201203,0,0,0
1772204212.034423,466,93.287982,0.200189,0,0,0
1772204212.134093,475,99.153392,0.208744,0,0,0
1772204212.234257,492,102.683775,0.208707,0,0,0
1772204212.333035,452,96.360779,0.213188,0,0,0
1772204212.434054,444,100.361101,0.226039,0,0,0
1772204212.534224,430,97.529623,0.226813,0,0,0
1772204212.634157,439,101.955227,0.232244,0,0,0
1772204212.734084,432,96.062322,0.222366,0,0,0
1772204212.833093,436,99.548913,0.228323,0,0,0
1772204212.934037,434,97.101948,0.223737,0,0,0
1772204213.034523,454,104.043205,0.229170,0,0,0
1772204213.133971,424,90.891171,0.214366,0,0,0
1772204213.233028,447,105.773681,0.236630,0,0,0
1772204213.332814,451,109.758624,0.243367,0,0,0
1772204213.433987,449,118.868911,0.264741,0,0,0
1772204213.534137,455,115.399465,0.253625,0,0,0
1772204213.634033,451,105.236652,0.233341,0,0,0
1772204213.733910,491,119.886592,0.244168,0,0,0
1772204213.833071,470,107.867750,0.229506,0,0,0
1772204213.933977,490,117.986321,0.240788,0,0,0
1772204214.034461,495,115.939435,0.234221,0,0,0
1772204214.134205,497,128.354353,0.258258,0,0,0
1772204214.232999,498,119.779885,0.240522,0,0,0
1772204214.334284,491,119.302945,0.242980,0,0,0
1772204214.434381,496,115.574819,0.233014,0,0,0
1772204214.534197,469,121.915181,0.259947,0,0,0
1772204214.634174,439,110.048278,0.250679,0,0,0
1772204214.734247,438,109.210066,0.249338,0,0,0
1772204214.834069,433,108.821323,0.251319,0,0,0
1772204214.933904,435,105.880906,0.243404,0,0,0
1772204215.032970,428,103.343750,0.241457,0,0,0
1772204215.132803,427,104.418709,0.244540,0,0,0
1772204215.234342,438,107.342817,0.245075,0,0,0
1772204215.333965,439,97.426983,0.221929,0,0,0
1772204215.433932,436,101.617422,0.233067,0,0,0
1772204215.534226,424,95.962448,0.226327,0,0,0
1772204215.634145,397,88.090031,0.221889,0,0,0
1772204215.734195,432,98.923959,0.228991,0,0,0
1772204215.834328,430,101.423195,0.235868,0,0,0
1772204215.934218,421,97.424743,0.231413,0,0,0
1772204216.034115,429,102.343921,0.238564,0,0,0
1772204216.133965,393,96.953411,0.246701,0,0,0
1772204216.234531,409,103.953089,0.254164,0,0,0
1772204216.333961,424,103.215163,0.243432,0,0,0
1772204216.434068,443,112.903256,0.254861,0,0,0
1772204216.534296,428,107.184030,0.250430,0,0,0
1772204216.634294,421,107.568514,0.255507,0,0,0
1772204216.733899,437,110.962212,0.253918,0,0,0
1772204216.834245,439,114.621264,0.261096,0,0,0
1772204216.934215,442,113.922177,0.257742,0,0,0
1772204217.033015,432,108.807255,0.251869,0,0,0
1772204217.134311,435,110.232728,0.253409,0,0,0
1772204217.232782,431,107.185085,0.248689,0,0,0
1772204217.333029,443,109.827542,0.247918,0,0,0
1772204217.434262,464,119.112952,0.256709,0,0,0
1772204217.534040,458,121.221176,0.264675,0,0,0
1772204217.634155,454,112.661523,0.248153,0,0,0
1772204217.734273,412,102.110186,0.247840,0,0,0
1772204217.833926,422,101.979933,0.241659,0,0,0
1772204217.933173,407,95.318366,0.234197,0,0,0
1772204218.034121,382,90.974676,0.238154,0,0,0
1772204218.134101,405,86.605153,0.213840,0,0,0
1772204218.234030,397,84.839726,0.213702,0,0,0
1772204218.334165,425,89.987866,0.211736,0,0,0
1772204218.433966,409,91.776749,0.224393,0,0,0
1772204218.533980,398,86.441866,0.217191,0,0,0
1772204218.634076,425,89.887677,0.211500,0,0,0
1772204218.734305,400,90.064655,0.225162,0,0,0
1772204218.833028,407,86.128852,0.211619,0,0,0
1772204218.934022,409,91.566069,0.223878,0,0,0
1772204219.033995,406,88.648991,0.218347,0,0,0
1772204219.134166,411,87.714893,0.213418,0,0,0
1772204219.233248,423,88.587576,0.209427,0,0,0
1772204219.334112,400,94.948039,0.237370,0,0,0
1772204219.434193,387,77.512213,0.200290,0,0,0
1772204219.534112,403,86.850327,0.215509,0,0,0
1772204219.634176,421,85.473689,0.203025,0,0,0
1772204219.733900,402,89.473703,0.222571,0,0,0
1772204219.834122,422,92.821279,0.219956,0,0,0
1772204219.934237,429,97.075767,0.226284,0,0,0
1772204220.034007,440,98.733176,0.224394,0,0,0
1772204220.134017,414,89.442708,0.216045,0,0,0
1772204220.234169,436,98.873533,0.226774,0,0,0
1772204220.333975,427,96.135594,0.225142,0,0,0
1772204220.433919,435,94.862434,0.218075,0,0,0
1772204220.534119,415,87.337940,0.210453,0,0,0
1772204220.634110,412,85.502650,0.207531,0,0,0
1772204220.734068,426,91.781776,0.215450,0,0,0
1772204220.834088,420,89.698735,0.213568,0,0,0
1772204220.934011,430,92.204845,0.214430,0,0,0
1772204221.033096,422,91.387811,0.216559,0,0,0
1772204221.134463,431,95.309622,0.221136,0,0,0
