t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772204208.634054,0,nan,nan,0,0,0
1772204208.734157,0,nan,nan,0,0,0
1772204208.834114,0,nan,nan,0,0,0
1772204208.933954,0,nan,nan,0,0,0
1772204209.034446,0,nan,nan,0,0,1
1772204209.134125,0,nan,nan,0,0,1
1772204209.233037,0,nan,nan,0,0,1
1772204209.334231,0,nan,nan,0,0,1
1772204209.434314,0,nan,nan,0,0,1
1772204209.534292,0,nan,nan,0,1,1
1772204209.634116,722,113.402745,0.157068,0,1,1
1772204209.734159,728,112.495658,0.154527,0,1,1
1772204209.834257,727,121.098890,0.166573,0,1,0
1772204209.934125,726,114.648881,0.157919,0,0,0
1772204210.034253,720,117.466659,0.163148,0,0,0
1772204210.134069,695,117.493942,0.169056,0,0,0
1772204210.234338,708,118.750471,0.167727,0,0,0
1772204210.334064,706,113.485697,0.160745,0,0,0
1772204210.433960,702,112.189497,0.159814,0,0,0
1772204210.534312,698,115.959984,0.166132,0,0,0
1772204210.634161,702,111.766855,0.159212,0,0,0
1772204210.733998,707,106.095775,0.150065,0,0,0
1772204210.834139,700,115.158471,0.164512,0,0,0
1772204210.934158,695,103.377815,0.148745,0,0,0
1772204211.034125,705,115.001919,0.163123,0,0,0
1772204211.134319,719,115.119856,0.160111,0,0,0
1772204211.234335,702,113.049059,0.161039,0,0,0
1772204211.333972,689,113.727843,0.165062,0,0,0
1772204211.434044,718,118.688649,0.165305,0,0,0
1772204211.534106,732,115.720423,0.158088,0,0,0
1772204211.633969,713,113.054626,0.158562,0,0,0
1772204211.735215,761,141.850053,0.186400,0,0,0
1772204211.834080,761,125.890936,0.165428,0,0,0
1772204211.933905,755,126.060663,0.166968,0,0,0
1772204212.034423,747,129.723504,0.173659,0,0,0
1772204212.134093,741,136.178288,0.183776,0,0,0
1772204212.234257,745,144.941361,0.194552,0,0,0
1772204212.333035,715,137.318301,0.192054,0,0,0
1772204212.434054,693,130.876132,0.188854,0,0,0
1772204212.534224,688,130.972726,0.190367,0,0,0
1772204212.634157,690,131.879051,0.191129,0,0,0
1772204212.734084,686,135.667661,0.197766,0,0,0
1772204212.833093,694,143.071136,0.206154,0,0,0
1772204212.934037,681,131.439974,0.193010,0,0,0
1772204213.034523,686,135.720245,0.197843,0,0,0
1772204213.133971,667,123.302810,0.184862,0,0,0
1772204213.233028,672,139.585202,0.207716,0,0,0
1772204213.332814,688,143.171084,0.208098,0,0,0
1772204213.433987,696,159.302349,0.228883,0,0,0
1772204213.534137,708,138.019123,0.194942,0,0,0
1772204213.634033,714,147.123399,0.206055,0,0,0
1772204213.733910,746,151.368301,0.202907,0,0,0
1772204213.833071,740,150.447771,0.203308,0,0,0
1772204213.933977,754,151.356827,0.200738,0,0,0
1772204214.034461,750,149.100403,0.198801,0,0,0
1772204214.134205,763,165.423112,0.216806,0,0,0
1772204214.232999,772,161.195101,0.208802,0,0,0
1772204214.334284,747,159.422869,0.213417,0,0,0
1772204214.434381,757,149.917606,0.198042,0,0,0
1772204214.534197,708,170.099386,0.240253,0,0,0
1772204214.634174,680,141.440693,0.208001,0,0,0
1772204214.734247,679,149.077593,0.219555,0,0,0
1772204214.834069,678,143.804054,0.212100,0,0,0
1772204214.933904,678,148.535666,0.219079,0,0,0
1772204215.032970,673,135.795568,0.201776,0,0,0
1772204215.132803,684,140.877808,0.205962,0,0,0
1772204215.234342,684,137.695489,0.201309,0,0,0
1772204215.333965,682,134.770823,0.197611,0,0,0
1772204215.433932,663,127.124846,0.191742,0,0,0
1772204215.534226,670,132.811272,0.198226,0,0,0
1772204215.634145,637,125.034389,0.196286,0,0,0
1772204215.734195,668,122.624373,0.183569,0,0,0
1772204215.834328,665,122.234560,0.183811,0,0,0
1772204215.934218,641,120.465725,0.187934,0,0,0
1772204216.034115,663,130.918535,0.197464,0,0,0
1772204216.133965,630,135.853073,0.215640,0,0,0
1772204216.234531,609,143.722186,0.235997,0,0,0
1772204216.333961,665,146.437866,0.220207,0,0,0
1772204216.434068,668,144.741372,0.216679,0,0,0
1772204216.534296,671,140.504925,0.209396,0,0,0
1772204216.634294,650,134.479060,0.206891,0,0,0
1772204216.733899,681,153.851179,0.225919,0,0,0
1772204216.834245,677,156.526595,0.231206,0,0,0
1772204216.934215,688,156.245841,0.227102,0,0,0
1772204217.033015,695,152.432443,0.219327,0,0,0
1772204217.134311,686,159.461645,0.232451,0,0,0
1772204217.232782,697,152.159507,0.218306,0,0,0
1772204217.333029,687,163.321089,0.237731,0,0,0
1772204217.434262,701,164.022990,0.233984,0,0,0
1772204217.534040,704,155.326174,0.220634,0,0,0
1772204217.634155,708,154.668889,0.218459,0,0,0
1772204217.734273,641,143.815027,0.224360,0,0,0
1772204217.833926,643,147.610322,0.229565,0,0,0
1772204217.933173,630,122.044945,0.193722,0,0,0
1772204218.034121,581,123.467560,0.212509,0,0,0
1772204218.134101,621,108.156341,0.174165,0,0,0
1772204218.234030,633,128.638204,0.203220,0,0,0
1772204218.334165,643,113.947552,0.177212,0,0,0
1772204218.433966,645,123.819997,0.191969,0,0,0
1772204218.533980,645,112.321980,0.174143,0,0,0
1772204218.634076,654,120.590579,0.184389,0,0,0
1772204218.734305,627,109.947826,0.175355,0,0,0
1772204218.833028,637,122.631841,0.192515,0,0,0
1772204218.934022,635,114.702251,0.180633,0,0,0
1772204219.033995,636,115.937060,0.182291,0,0,0
1772204219.134166,649,131.331968,0.202361,0,0,0
1772204219.233248,646,108.553460,0.168039,0,0,0
1772204219.334112,634,122.263091,0.192844,0,0,0
1772204219.434193,608,106.354162,0.174925,0,0,0
1772204219.534112,603,113.769390,0.188672,0,0,0
1772204219.634176,648,108.674835,0.167708,0,0,0
1772204219.733900,661,133.086968,0.201342,0,0,0
1772204219.834122,666,127.550451,0.191517,0,0,0
1772204219.934237,658,124.523905,0.189246,0,0,0
1772204220.034007,677,129.087415,0.190676,0,0,0
1772204220.134017,660,120.974681,0.183295,0,0,0
1772204220.234169,678,128.563660,0.189622,0,0,0
1772204220.333975,675,126.104970,0.186822,0,0,0
1772204220.433919,656,122.719385,0.187072,0,0,0
1772204220.534119,679,127.042776,0.187103,0,0,0
1772204220.634110,650,116.879795,0.179815,0,0,0
1772204220.734068,667,125.834894,0.188658,0,0,0
1772204220.834088,679,129.932338,0.191358,0,0,0
1772204220.934011,651,116.727625,0.179305,0,0,0
1772204221.033096,660,136.500888,0.206820,0,0,0
1772204221.134463,667,123.073125,0.184517,0,0,0
