t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772212021.606230,0,nan,nan,0,0,0
1772212021.707468,0,nan,nan,0,0,0
1772212021.806573,0,nan,nan,0,0,0
1772212021.907562,0,nan,nan,0,0,0
1772212022.006600,0,nan,nan,0,0,1
1772212022.106457,0,nan,nan,0,0,1
1772212022.206688,0,nan,nan,0,0,1
1772212022.306597,0,nan,nan,0,0,1
1772212022.407559,0,nan,nan,0,0,1
1772212022.506187,0,nan,nan,0,1,1
1772212022.606699,631,116.832875,0.185155,0,1,1
1772212022.707585,642,123.101364,0.191747,0,1,1
1772212022.806650,631,121.140029,0.191981,0,1,0
1772212022.906414,638,123.241176,0.193168,0,0,0
1772212023.007601,633,127.866918,0.202001,0,0,0
1772212023.106439,693,123.071189,0.177592,0,0,0
1772212023.206613,701,130.649318,0.186376,0,0,0
1772212023.307667,697,133.607449,0.191689,0,0,0
1772212023.407409,711,132.924695,0.186955,0,0,0
1772212023.507502,687,141.847956,0.206474,0,0,0
1772212023.607427,715,135.693706,0.189781,0,0,0
1772212023.706599,667,128.690403,0.192939,0,0,0
1772212023.806679,683,137.671049,0.201568,0,0,0
1772212023.907604,641,130.002664,0.202812,0,0,0
1772212024.006203,634,122.670262,0.193486,0,0,0
1772212024.107458,616,128.623822,0.208805,0,0,0
1772212024.207593,649,131.109759,0.202018,0,0,0
1772212024.306571,630,125.343110,0.198957,0,0,0
1772212024.406585,655,139.058288,0.212303,0,0,0
1772212024.507580,635,135.308533,0.213084,0,0,0
1772212024.606672,660,133.595876,0.202418,0,0,0
1772212024.707508,637,132.605030,0.208171,0,0,0
1772212024.807468,659,137.607293,0.208812,0,0,0
1772212024.906570,662,141.665370,0.213996,0,0,0
1772212025.006979,628,138.772871,0.220976,0,0,0
1772212025.107464,621,128.919902,0.207600,0,0,0
1772212025.206670,621,132.744514,0.213759,0,0,0
1772212025.306556,645,134.780381,0.208962,0,0,0
1772212025.407479,623,138.391444,0.222137,0,0,0
