t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772212021.606230,0,nan,nan,0,0,0
1772212021.707468,0,nan,nan,0,0,0
1772212021.806573,0,nan,nan,0,0,0
1772212021.907562,0,nan,nan,0,0,0
1772212022.006600,0,nan,nan,0,0,1
1772212022.106457,0,nan,nan,0,0,1
1772212022.206688,0,nan,nan,0,0,1
1772212022.306597,0,nan,nan,0,0,1
1772212022.407559,0,nan,nan,0,0,1
1772212022.506187,0,nan,nan,0,1,1
1772212022.606699,939,192.426884,0.204927,0,1,1
1772212022.707585,936,199.320069,0.212949,0,1,1
1772212022.806650,920,194.717330,0.211649,0,1,0
1772212022.906414,913,198.574107,0.217496,0,0,0
1772212023.007601,944,200.820816,0.212734,0,0,0
1772212023.106439,947,195.376812,0.206311,0,0,0
1772212023.206613,974,202.822829,0.208237,0,0,0
1772212023.307667,982,204.494968,0.208243,0,0,0
1772212023.407409,1008,215.571999,0.213861,0,0,0
1772212023.507502,958,205.537461,0.214548,0,0,0
1772212023.607427,964,198.394297,0.205803,0,0,0
1772212023.706599,935,195.613984,0.209213,0,0,0
1772212023.806679,936,204.488084,0.218470,0,0,0
1772212023.907604,905,195.950217,0.216520,0,0,0
1772212024.006203,891,193.767696,0.217472,0,0,0
1772212024.107458,881,192.538915,0.218546,0,0,0
1772212024.207593,884,185.936994,0.210336,0,0,0
1772212024.306571,879,190.288599,0.216483,0,0,0
1772212024.406585,874,193.404937,0.221287,0,0,0
1772212024.507580,875,196.708004,0.224809,0,0,0
1772212024.606672,899,181.404849,0.201785,0,0,0
1772212024.707508,903,201.148015,0.222755,0,0,0
1772212024.807468,901,197.647467,0.219365,0,0,0
1772212024.906570,904,195.886766,0.216689,0,0,0
1772212025.006979,880,184.032423,0.209128,0,0,0
1772212025.107464,887,195.060005,0.219910,0,0,0
1772212025.206670,879,186.096564,0.211714,0,0,0
1772212025.306556,869,185.176931,0.213092,0,0,0
1772212025.407479,858,191.389408,0.223065,0,0,0
