t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772192205.533775,0,nan,nan,0,0,0
1772192205.633791,0,nan,nan,0,0,0
1772192205.733883,0,nan,nan,0,0,0
1772192205.833700,0,nan,nan,0,0,0
1772192205.933594,0,nan,nan,0,0,1
1772192206.034976,0,nan,nan,0,0,1
1772192206.133883,0,nan,nan,0,0,1
1772192206.233928,0,nan,nan,0,0,1
1772192206.333933,0,nan,nan,0,0,1
1772192206.433908,0,nan,nan,0,1,1
1772192206.533761,966,247.606834,0.256322,0,1,1
1772192206.633713,959,248.591905,0.259220,0,1,1
1772192206.733773,989,264.861403,0.267807,0,1,0
1772192206.833706,972,262.388108,0.269947,0,0,0
1772192206.933459,963,250.168491,0.259780,0,0,0
1772192207.033947,994,253.744664,0.255276,0,0,0
1772192207.133828,960,253.148672,0.263697,0,0,0
1772192207.233816,958,252.412761,0.263479,0,0,0
1772192207.333807,924,241.712035,0.261593,0,0,0
1772192207.433758,957,243.327550,0.254261,0,0,0
1772192207.533921,956,245.360300,0.256653,0,0,0
1772192207.633966,976,255.569525,0.261854,0,0,0
1772192207.733814,964,260.626582,0.270360,0,0,0
1772192207.834121,988,271.421629,0.274718,0,0,0
1772192207.933602,970,264.040961,0.272207,0,0,0
1772192208.033672,966,258.160136,0.267247,0,0,0
1772192208.133898,945,233.632372,0.247230,0,0,0
1772192208.233726,927,227.419983,0.245329,0,0,0
1772192208.333292,947,237.213409,0.250489,0,0,0
1772192208.433691,942,220.320179,0.233886,0,0,0
1772192208.533808,966,232.832766,0.241028,0,0,0
1772192208.634255,909,211.969151,0.233189,0,0,0
1772192208.733795,938,219.030689,0.233508,0,0,0
1772192208.834824,662,175.559229,0.265195,0,0,0
1772192208.933620,708,174.180154,0.246017,0,0,0
1772192209.033635,722,172.195708,0.238498,0,0,0
1772192209.133638,723,172.741694,0.238924,0,0,0
1772192209.233767,729,170.318666,0.233633,0,0,0
1772192209.333871,723,173.558812,0.240054,0,0,0
1772192209.433280,746,177.460639,0.237883,0,0,0
1772192209.533638,706,168.294019,0.238377,0,0,0
1772192209.633976,735,172.765064,0.235055,0,0,0
1772192209.734809,732,171.011868,0.233623,0,0,0
1772192209.834183,740,175.182086,0.236733,0,0,0
1772192209.933652,741,173.552229,0.234214,0,0,0
1772192210.033900,732,176.678399,0.241364,0,0,0
1772192210.133718,713,170.550530,0.239201,0,0,0
1772192210.233806,719,169.195303,0.235320,0,0,0
1772192210.333953,696,155.565858,0.223514,0,0,0
1772192210.433724,722,170.835235,0.236614,0,0,0
1772192210.534860,698,166.955057,0.239191,0,0,0
1772192210.633545,732,174.151928,0.237912,0,0,0
1772192210.733736,712,164.040696,0.230394,0,0,0
1772192210.833610,692,163.311444,0.235999,0,0,0
1772192210.934869,706,157.288797,0.222789,0,0,0
1772192211.033736,710,170.543955,0.240203,0,0,0
1772192211.134117,725,170.562104,0.235258,0,0,0
1772192211.233334,673,149.852456,0.222663,0,0,0
1772192211.334770,553,107.466384,0.194333,0,0,0
1772192211.433966,471,124.744053,0.264849,0,0,0
1772192211.534765,537,147.393015,0.274475,0,0,0
1772192211.633672,581,162.882447,0.280348,0,0,0
1772192211.733618,677,187.990821,0.277682,0,0,0
1772192211.834775,759,195.810921,0.257985,0,0,0
1772192211.933685,775,178.361132,0.230143,0,0,0
1772192212.033757,801,187.608711,0.234218,0,0,0
1772192212.133783,799,168.177183,0.210485,0,0,0
1772192212.233655,843,189.512048,0.224807,0,0,0
1772192212.333584,818,179.463827,0.219393,0,0,0
1772192212.434763,843,187.231217,0.222101,0,0,0
1772192212.534010,801,185.840467,0.232011,0,0,0
1772192212.633629,845,185.910034,0.220012,0,0,0
1772192212.734015,828,189.136776,0.228426,0,0,0
1772192212.833984,860,202.277194,0.235206,0,0,0
