t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772213398.088180,0,nan,nan,0,0,0
1772213398.187749,0,nan,nan,0,0,0
1772213398.288628,0,nan,nan,0,0,0
1772213398.388108,0,nan,nan,0,0,0
1772213398.487783,0,nan,nan,0,0,1
1772213398.588312,0,nan,nan,0,0,1
1772213398.688108,0,nan,nan,0,0,1
1772213398.788415,0,nan,nan,0,0,1
1772213398.888286,0,nan,nan,0,0,1
1772213398.988030,0,nan,nan,0,1,1
1772213399.087826,605,148.703507,0.245791,0,1,1
1772213399.188261,615,157.103682,0.255453,0,1,1
1772213399.288080,642,164.776204,0.256661,0,1,0
1772213399.387702,611,149.318797,0.244384,0,0,0
1772213399.487956,639,164.482998,0.257407,0,0,0
1772213399.588051,579,139.420244,0.240795,0,0,0
1772213399.688336,640,157.530801,0.246142,0,0,0
1772213399.788258,626,156.806238,0.250489,0,0,0
1772213399.888160,651,167.963806,0.258009,0,0,0
1772213399.987970,637,155.831209,0.244633,0,0,0
1772213400.087700,637,155.238049,0.243702,0,0,0
1772213400.188022,627,162.702408,0.259493,0,0,0
1772213400.288285,651,171.045762,0.262743,0,0,0
1772213400.387423,660,175.277809,0.265572,0,0,0
1772213400.487794,655,167.527749,0.255768,0,0,0
1772213400.588605,656,181.004714,0.275922,0,0,0
1772213400.688269,656,166.665183,0.254063,0,0,0
1772213400.788239,644,174.315625,0.270676,0,0,0
1772213400.888143,654,175.473695,0.268308,0,0,0
1772213400.988128,680,183.927259,0.270481,0,0,0
1772213401.088042,693,185.481958,0.267651,0,0,0
1772213401.187823,705,188.112189,0.266826,0,0,0
1772213401.288244,670,180.860750,0.269941,0,0,0
1772213401.388256,706,189.205473,0.267996,0,0,0
1772213401.487777,699,181.213564,0.259247,0,0,0
1772213401.588531,693,183.241950,0.264418,0,0,0
1772213401.687987,695,186.097201,0.267766,0,0,0
1772213401.787894,688,178.143472,0.258929,0,0,0
1772213401.888449,661,164.007717,0.248121,0,0,0
1772213401.988226,642,151.603735,0.236143,0,0,0
1772213402.087731,611,154.212512,0.252394,0,0,0
1772213402.187667,602,154.812490,0.257164,0,0,0
1772213402.287999,595,160.805353,0.270261,0,0,0
1772213402.388284,587,156.136573,0.265991,0,0,0
1772213402.487769,622,165.805392,0.266568,0,0,0
1772213402.588072,607,157.140244,0.258880,0,0,0
1772213402.687912,616,156.130588,0.253459,0,0,0
1772213402.788119,605,160.841852,0.265854,0,0,0
1772213402.888236,593,154.356186,0.260297,0,0,0
1772213402.988031,588,148.893162,0.253220,0,0,0
1772213403.087638,582,153.011876,0.262907,0,0,0
1772213403.187590,607,153.391366,0.252704,0,0,0
1772213403.288593,578,154.477416,0.267262,0,0,0
1772213403.387845,592,155.539550,0.262736,0,0,0
1772213403.487735,575,154.754375,0.269138,0,0,0
1772213403.587899,582,152.577340,0.262160,0,0,0
1772213403.688121,595,158.220986,0.265918,0,0,0
1772213403.788215,605,155.737668,0.257418,0,0,0
1772213403.888355,580,163.183179,0.281350,0,0,0
1772213403.987650,591,158.955549,0.268960,0,0,0
1772213404.087775,582,159.044005,0.273271,0,0,0
1772213404.188253,606,159.743605,0.263603,0,0,0
1772213404.287834,596,161.394310,0.270796,0,0,0
1772213404.388052,595,159.863774,0.268679,0,0,0
1772213404.488093,589,151.529269,0.257265,0,0,0
1772213404.588237,570,155.842942,0.273409,0,0,0
1772213404.689049,598,151.181087,0.252811,0,0,0
1772213404.788261,599,156.313625,0.260958,0,0,0
1772213404.888210,586,150.929365,0.257559,0,0,0
1772213404.987956,597,157.839377,0.264388,0,0,0
1772213405.087875,593,151.458011,0.255410,0,0,0
1772213405.188217,598,166.379231,0.278226,0,0,0
1772213405.288032,604,157.435974,0.260656,0,0,0
1772213405.388256,606,163.270782,0.269424,0,0,0
1772213405.487769,584,153.268554,0.262446,0,0,0
1772213405.588582,564,151.660431,0.268901,0,0,0
1772213405.687710,576,157.389893,0.273246,0,0,0
1772213405.788084,572,152.098935,0.265907,0,0,0
1772213405.887995,594,155.486877,0.261762,0,0,0
1772213405.987790,621,169.486591,0.272925,0,0,0
1772213406.088066,631,157.203492,0.249134,0,0,0
1772213406.187822,640,169.076195,0.264182,0,0,0
1772213406.287755,638,164.909151,0.258478,0,0,0
1772213406.388070,646,162.841072,0.252076,0,0,0
1772213406.488045,640,170.724607,0.266757,0,0,0
1772213406.587805,652,167.055435,0.256220,0,0,0
1772213406.687990,660,176.198130,0.266967,0,0,0
1772213406.787934,635,159.687177,0.251476,0,0,0
1772213406.888293,642,168.791021,0.262914,0,0,0
1772213406.988993,638,162.443262,0.254613,0,0,0
1772213407.088063,640,173.060921,0.270408,0,0,0
1772213407.187908,625,166.240317,0.265985,0,0,0
1772213407.288040,620,164.736131,0.265703,0,0,0
1772213407.388991,634,172.441819,0.271990,0,0,0
1772213407.487656,645,173.640747,0.269210,0,0,0
1772213407.587549,655,174.901395,0.267025,0,0,0
1772213407.687744,660,170.998676,0.259089,0,0,0
1772213407.788985,669,181.823454,0.271784,0,0,0
1772213407.888192,672,177.092012,0.263530,0,0,0
1772213407.988019,665,176.332348,0.265161,0,0,0
1772213408.087642,647,172.093644,0.265987,0,0,0
1772213408.187786,643,169.462925,0.263550,0,0,0
1772213408.287999,637,179.414841,0.281656,0,0,0
1772213408.387847,640,166.140406,0.259594,0,0,0
1772213408.488096,633,162.424674,0.256595,0,0,0
1772213408.587965,675,164.886974,0.244277,0,0,0
1772213408.689002,688,169.589818,0.246497,0,0,0
1772213408.788189,693,165.730512,0.239149,0,0,0
1772213408.888185,658,173.438157,0.263584,0,0,0
1772213408.987642,687,165.689003,0.241178,0,0,0
1772213409.087979,653,166.712697,0.255303,0,0,0
1772213409.187923,615,152.164211,0.247421,0,0,0
1772213409.288217,629,153.743155,0.244425,0,0,0
1772213409.388055,633,164.866503,0.260453,0,0,0
1772213409.487755,645,160.186671,0.248351,0,0,0
1772213409.587868,651,167.836432,0.257813,0,0,0
1772213409.689040,716,171.898403,0.240082,0,0,0
1772213409.788025,724,186.974502,0.258252,0,0,0
1772213409.888244,739,174.628269,0.236303,0,0,0
1772213409.988039,755,180.956527,0.239678,0,0,0
1772213410.087932,737,183.412402,0.248864,0,0,0
1772213410.188966,749,188.172217,0.251231,0,0,0
1772213410.288071,743,173.831603,0.233959,0,0,0
1772213410.388205,742,181.580542,0.244718,0,0,0
1772213410.488101,763,178.557570,0.234020,0,0,0
1772213410.588536,727,176.573162,0.242879,0,0,0
1772213410.688049,731,178.304641,0.243919,0,0,0
1772213410.788099,709,181.861786,0.256505,0,0,0
1772213410.888033,710,186.693331,0.262948,0,0,0
1772213410.987927,687,179.115181,0.260721,0,0,0
1772213411.088150,695,174.981593,0.251772,0,0,0
1772213411.187979,719,185.572714,0.258098,0,0,0
1772213411.287756,714,192.286463,0.269309,0,0,0
1772213411.388139,746,178.489719,0.239262,0,0,0
1772213411.488034,758,189.328632,0.249774,0,0,0
1772213411.587915,769,192.043773,0.249732,0,0,0
1772213411.687823,776,192.035999,0.247469,0,0,0
1772213411.787992,768,187.967446,0.244749,0,0,0
1772213411.888916,748,183.168586,0.244878,0,0,0
1772213411.988945,749,173.868614,0.232134,0,0,0
1772213412.088063,745,182.429945,0.244872,0,0,0
1772213412.187868,722,171.623174,0.237705,0,0,0
1772213412.288041,737,168.434106,0.228540,0,0,0
1772213412.388978,749,188.964577,0.252289,0,0,0
1772213412.488262,732,179.108158,0.244683,0,0,0
1772213412.588345,721,174.925993,0.242616,0,0,0
1772213412.687533,751,168.439725,0.224287,0,0,0
1772213412.787755,735,173.826780,0.236499,0,0,0
1772213412.888032,765,179.810514,0.235046,0,0,0
1772213412.988280,764,176.102794,0.230501,0,0,0
1772213413.088066,775,186.752476,0.240971,0,0,0
1772213413.187879,782,173.726812,0.222157,0,0,0
1772213413.288162,774,186.656855,0.241159,0,0,0
1772213413.387994,777,183.702903,0.236426,0,0,0
1772213413.487926,772,188.753776,0.244500,0,0,0
1772213413.587881,801,189.600703,0.236705,0,0,0
1772213413.687527,793,190.932958,0.240773,0,0,0
1772213413.788965,799,181.487903,0.227144,0,0,0
1772213413.888178,785,202.708990,0.258228,0,0,0
1772213413.988002,782,183.523823,0.234685,0,0,0
1772213414.087844,790,201.810459,0.255456,0,0,0
1772213414.188162,766,177.925682,0.232279,0,0,0
1772213414.288923,764,178.198361,0.233244,0,0,0
1772213414.388279,787,175.434268,0.222915,0,0,0
1772213414.488017,771,174.394366,0.226192,0,0,0
1772213414.587897,811,173.680661,0.214156,0,0,0
1772213414.688056,811,173.703116,0.214184,0,0,0
1772213414.788283,825,189.928256,0.230216,0,0,0
1772213414.888258,824,170.444901,0.206851,0,0,0
1772213414.988331,812,174.924193,0.215424,0,0,0
1772213415.088143,830,180.307294,0.217238,0,0,0
1772213415.187638,831,179.039284,0.215450,0,0,0
1772213415.288019,844,185.509424,0.219798,0,0,0
1772213415.388011,833,191.401166,0.229773,0,0,0
1772213415.487902,872,189.859285,0.217729,0,0,0
1772213415.587730,854,190.428395,0.222984,0,0,0
1772213415.688158,894,207.114084,0.231671,0,0,0
1772213415.788883,867,207.001006,0.238755,0,0,0
1772213415.888272,927,217.875617,0.235033,0,0,0
1772213415.987915,941,234.765043,0.249485,0,0,0
1772213416.087891,975,239.452233,0.245592,0,0,0
1772213416.188045,963,237.693748,0.246826,0,0,0
1772213416.287860,965,227.405696,0.235654,0,0,0
1772213416.388928,982,242.898407,0.247351,0,0,0
1772213416.487641,976,221.935380,0.227393,0,0,0
1772213416.588028,958,235.599837,0.245929,0,0,0
1772213416.688139,952,224.791680,0.236126,0,0,0
1772213416.788026,977,239.899545,0.245547,0,0,0
1772213416.887644,933,226.887435,0.243181,0,0,0
1772213416.987646,955,234.213118,0.245249,0,0,0
1772213417.088984,939,228.268622,0.243098,0,0,0
1772213417.188124,976,236.186118,0.241994,0,0,0
1772213417.287977,995,241.355611,0.242568,0,0,0
1772213417.387873,967,239.927122,0.248115,0,0,0
1772213417.487760,1021,242.906721,0.237911,0,0,0
1772213417.588949,981,235.382391,0.239941,0,0,0
1772213417.687862,1013,247.018007,0.243848,0,0,0
1772213417.789050,1019,257.026356,0.252234,0,0,0
1772213417.887862,1021,256.323598,0.251052,0,0,0
1772213417.987998,1030,259.287460,0.251735,0,0,0
1772213418.087924,1064,268.336433,0.252196,0,0,0
1772213418.187504,1094,279.014972,0.255041,0,0,0
1772213418.287938,1058,276.890774,0.261712,0,0,0
1772213418.387549,1070,269.976513,0.252314,0,0,0
1772213418.487906,1067,272.853611,0.255720,0,0,0
1772213418.587489,1110,277.701985,0.250182,0,0,0
1772213418.687951,1116,289.720233,0.259606,0,0,0
1772213418.787543,1106,283.113705,0.255980,0,0,0
1772213418.888127,1117,285.044808,0.255188,0,0,0
1772213418.987904,1091,280.907600,0.257477,0,0,0
1772213419.087543,1084,280.528545,0.258790,0,0,0
1772213419.187859,1092,285.736357,0.261663,0,0,0
1772213419.288857,1072,277.947052,0.259279,0,0,0
1772213419.387942,1077,276.168368,0.256424,0,0,0
1772213419.488186,1055,266.667702,0.252766,0,0,0
1772213419.588064,1049,242.088044,0.230780,0,0,0
1772213419.687843,1076,265.361423,0.246618,0,0,0
1772213419.788086,1078,255.679759,0.237180,0,0,0
1772213419.887957,1079,263.563630,0.244267,0,0,0
1772213419.987877,1048,256.663137,0.244908,0,0,0
1772213420.088217,1013,245.576901,0.242425,0,0,0
1772213420.188087,1058,259.201616,0.244992,0,0,0
1772213420.287820,1079,253.179322,0.234643,0,0,0
1772213420.388085,1078,240.929483,0.223497,0,0,0
1772213420.487895,1062,255.315178,0.240410,0,0,0
1772213420.587542,1104,273.305671,0.247559,0,0,0
1772213420.688056,1099,274.900214,0.250137,0,0,0
1772213420.788924,1107,271.812389,0.245540,0,0,0
1772213420.888881,1126,256.010896,0.227363,0,0,0
1772213420.987909,1127,273.306284,0.242508,0,0,0
1772213421.087848,1110,274.607482,0.247394,0,0,0
1772213421.188050,1088,260.509642,0.239439,0,0,0
1772213421.288095,1088,250.762251,0.230480,0,0,0
1772213421.387897,1085,266.618203,0.245731,0,0,0
1772213421.487902,1055,243.730564,0.231024,0,0,0
1772213421.588223,1040,254.104747,0.244331,0,0,0
1772213421.688232,1048,247.672197,0.236328,0,0,0
1772213421.787496,1041,248.689267,0.238895,0,0,0
1772213421.887528,1064,256.589758,0.241156,0,0,0
1772213421.987788,1096,278.081204,0.253724,0,0,0
1772213422.087868,1139,281.157682,0.246846,0,0,0
1772213422.188860,1086,276.321071,0.254439,0,0,0
1772213422.288293,1092,262.950337,0.240797,0,0,0
1772213422.387813,1080,254.246369,0.235413,0,0,0
1772213422.487543,1064,257.981540,0.242464,0,0,0
1772213422.588941,1075,256.018286,0.238157,0,0,0
1772213422.688301,1050,253.635916,0.241558,0,0,0
1772213422.789153,1082,272.968671,0.252282,0,0,0
